Property,Gross Rentable Area (GRA) (sq. ft),Valuation (HK$ million),Occupancy,No. of Car Parking Lots,MV as %,lat,lon,LCZ_Class_,LCZ_Filter_,Class_Probability_
Fortune City One,414469,8105,0.987,653,20.79%,22.386429999999997,114.20399684075424,3,1,52
WOO,665244,7895,0.891,622,20.25%,22.3651,114.1305,1,4,96
Ma On Shan Plaza,310084,5613,0.992,290,14.40%,22.42542155,114.23136770386878,1,1,96
Metro Town,180822,3606,1,74,9.25%,22.304321950000002,114.25192933564212,1,1,100
Fortune Metropolis,332168,2379,0.829,179,6.10%,22.3027909,114.1831527,1,1,100
Laguna Plaza,163203,2412,0.989,150,6.19%,22.30684,114.22794,1,4,100
Belvedere Square,276862,2465,0.926,329,6.32%,22.372,114.1019,4,4,56
Waldorf Avenue,80842,1771,0.988,73,4.54%,22.39179,113.97808,1,1,92
Caribbean Square,63018,1212,0.986,117,3.11%,22.2919339,113.9490508805672,17,17,100
Jubilee Square,170616,931,0.988,97,2.39%,22.3966,114.1995,1,1,100
Smartland,123544,781,0.905,67,2.00%,22.368403700000002,114.12172538656276,1,1,100
Tsing Yi Square,78836,833,1,27,2.14%,22.36012855,114.10759305627822,4,1,96
Centre de Laguna,43000,326,0.938,,0.84%,22.3057,114.2281,4,4,68
Hampton Loft,74734,323,1,35,0.83%,22.3208,114.1556,4,1,56
Lido Avenue,9836,205,1,,0.53%,22.36649,114.05918,1,1,56
Rhine Avenue,14604,130,1,,0.33%,22.367449,114.061614,4,4,100
Total / Overall average,3001882,38987,,2713,100.00%,,,,,
