No.,Property,Address,Market Value as % of Total (%),Approximate GRA (sq. ft),No. of Parking Lots,Market Value at 30 June 2023 (HK$),Capitalization Rate (Retail) (%),Capitalization Rate (Office) (%),Adopted Car Park & Others (%),Estimated Net Property Yield (%),lat,lon,LCZ_Class_,LCZ_Filter_,Class_Probability_
1,Dah Sing Financial Centre,"No. 248 Queen's Road East, Wan Chai",27.14%,"3,76,381",45,"5,02,30,00,000",3.7,3.8,4.9,3.39,22.2748341,114.1735339627312,1,1,100
2,Strand 50,"No. 50 Bonham Strand, Sheung Wan",6.84%,"1,17,908",-,"1,26,67,00,000",3.85,3.55,-,3.21,22.2857162,114.15122999882033,1,1,100
3,Various Portions in 135 Bonham Strand Trade Centre,"No. 135 Bonham Strand, Sheung Wan",3.01%,"63,915",-,"55,82,00,000",3.85,3.65,-,3.65,22.2866627,114.14930143793798,1,1,100
4,Various Portions in Winsome House,"No. 73 Wyndham Street, Central",2.89%,"40,114",-,"53,62,00,000",3.65,3.65,-,2.89,22.280361,114.155531,1,1,100
5,Righteous Centre,"No. 585 Nathan Road, Mong Kok",2.89%,"51,767",-,"53,50,00,000",3.5,3.75,5.5,4.06,22.315644849999998,114.16986045351817,1,1,100
6,The Harvest,"No. 591 Nathan Road, Mong Kok",2.88%,"34,651",-,"53,40,00,000",3.4,3.55,-,3.07,22.3159,114.1698,1,1,100
7,235 Wing Lok Street Trade Centre,"No. 235 Wing Lok Street, Sheung Wan",1.92%,"52,285",-,"35,51,00,000",3.85,3.65,-,3.38,22.2876319,114.14806718678761,1,1,100
8,Java Road 108 Commercial Centre,"No. 108 Java Road, North Point",1.45%,"31,923",-,"26,84,00,000",4.05,3.85,-,4.18,22.292076350000002,114.19991127584048,1,1,100
9,On Loong Commercial Building,"Nos. 276-278 Lockhart Road, Wan Chai",1.29%,"27,206",-,"23,87,00,000",3.75,3.75,-,3.81,22.2784279,114.17703265853066,1,1,100
10,Various Portions in Sun Fai Commercial Centre,"No. 576 Reclamation Street, Mong Kok",0.88%,"26,151",-,"16,32,00,000",4.1,3.9,3.85,3.85,22.3391163,114.1522854,1,1,100
11,Various Portions in Wai Ching Commercial Building,"No. 77 Wai Ching Street, Yau Ma Tei",0.42%,"16,321",-,"7,78,00,000",3.95,3.65,-,3.92,22.374597299999998,114.11278302653383,1,1,100
12,"Commercial Development (including all shops, the restaurant and the kindergarten) and Car Parks in the Podium and Basement, Sheung Shui Centre","No. 3 Chi Cheong Road, Sheung Shui",20.29%,"1,22,339",297,"3,76,00,00,000",4.35,5.5,-,4.03,22.5009,114.13,4,4,96
13,"Commercial Development and Car Parks, Metro City Phase I","No. 1 Wan Hang Road, Tseung Kwan O",16.46%,"1,88,889",452,"3,05,00,00,000",4.35,5,-,4.33,22.3206,114.2573,4,1,84
14,Various Portions in Kwong Wah Plaza,"No. 11 Tai Tong Road, Yuen Long",6.22%,"68,411",-,"1,15,20,00,000",3.65,3.7,-,3.72,22.4439,114.0293,1,1,100
15,West 9 Zone Kids,"No. 38 Cherry Street, Tai Kok Tsui",4.56%,"58,836",17,"84,50,00,000",4.25,5,-,4.08,22.2754639,114.16545922449244,12,4,48
16,"Shops 1 to 9 on Ground Floor and Commercial Common Areas and Facilities, Supernova Stand","No. 28 Mercury Street, North Point",0.41%,"4,226",-,"7,50,00,000",3.8,-,-,3.87,22.285944,114.192111,1,1,100
17,"Various Shops Units on Ground Floor, Beverley Commercial Centre","Nos. 87-105 Chatham Road South, Tsim Sha Tsui",0.40%,"7,934",-,"7,39,00,000",4.15,-,-,3.83,22.301389,114.175833,1,1,100
,,,100%,"12,95,258","1,293","18,51,22,00,000",-,-,-,-,,,,,
