,Unnamed: 0,Description,Lot Number/Location,Group's Interest,Approx. Site Area (sq. ft.),Approx. Floor Area Attributable to the Group (sq. ft.),Existing Land Use,Stage of Completion,Estimated Date of Completion,Unnamed: 8,% exposure ,lat,lon,LCZ_Class_,LCZ_Filter_,Class_Probability_
0,0,"Grand Jeté Phase 2, Tuen Mun",T.M.T.L. 463 R.P.,0.409,266945,71852,Residential,Interior finishing,"March, 2024",,0.002021623,22.36884625,113.9993377315055,6,6,72
1,1,"The Coast Line, Yau Tong",Y.T.I.L. 45 R.P.,1,83669,113453,Residential,Superstructure in progress,"June, 2024",,0.003192107,22.293565,114.2348496364429,1,1,100
2,2,A site at Kwun Tong,Lot 1069 in Survey District No. 3,1,217076,1089145,Residential,Superstructure in progress,"January, 2026",,0.030644117,22.32036267,114.2396076,16,16,100
3,3,A site at Yuen Long,Lot 1677 in D.D. 115,1,163697,78574,Residential,Foundation work,"April, 2026",,0.002210753,22.456686,114.02074,4,3,40
4,4,A site at Kai Tak,N.K.I.L. 6604,1,117843,218087,Residential/Commercial,Superstructure in progress,"April, 2026",,0.006136082,22.31676205,114.2028318,8,1,88
5,5,A site at Kam Tin,Lot 2206 in D.D. 109,1,171986,137584,Residential,Foundation work,"June, 2026",,0.003871055,22.4416221,14.05966972,NA,NA,NA
6,6,A site at Tuen Mun,T.M.T.L. 561,1,362883,1308380,Residential,Ground investigation work,"June, 2028",,0.0368125,22.37430683,113.9913027,1,4,100
7,7,"A site at Sung Wong Toi, Kai Tak",N.K.I.L. 6649,1,214406,1293704,Residential/Commercial,Foundation to commence,"October, 2028",,0.036399576,22.32155705,114.1869226,1,1,60
8,8,"A site at Fung Yuen, Tai Po",Various lots in D.D. 11,1,747564,747564,Agricultural land,Planning,—,,0.021033415,22.4664,114.1807,9,9,80
9,9,A site at Yuen Long,Lot 1457 R.P. in D.D. 123,0.6,8610937,5166562.2,Agricultural land,Planning,—,,0.1453660775711995,22.4367405,114.02348,1,1,64
10,10,A site at North District,Various lots,1,1215513,1215513,Agricultural land,Planning,—,,0.034199599,22.5009,114.1558,9,9,100
11,11,Various sites at Yuen Long,Various lots,1,1718866,1718866,Agricultural land,Planning,—,,0.048361908,22.4367405,114.02348,1,1,64
