,Unnamed: 0,Description,Lot Number/Location,Group's Interest,Approx. Site Area (sq. ft.),Approx. Floor Area Attributable to the Group (sq. ft.),Existing Land Use,Stage of Completion,Estimated Date of Completion,Unnamed: 8,% exposure ,lat,lon
0,0,"Grand Jeté Phase 2, Tuen Mun",T.M.T.L. 463 R.P.,0.409,266945.0,71852.0,Residential,Interior finishing,"March, 2024",,0.00202162347056343,22.36884625,113.9993377315055
1,1,"The Coast Line, Yau Tong",Y.T.I.L. 45 R.P.,1.0,83669.0,113453.0,Residential,Superstructure in progress,"June, 2024",,0.003192106658211779,22.293565,114.2348496364429
2,2,A site at Kwun Tong,Lot 1069 in Survey District No. 3,1.0,217076.0,1089145.0,Residential,Superstructure in progress,"January, 2026",,0.03064411700226586,22.32036267,114.23960758
3,3,A site at Yuen Long,Lot 1677 in D.D. 115,1.0,163697.0,78574.0,Residential,Foundation work,"April, 2026",,0.002210753250794006,22.456686,114.02074
4,4,A site at Kai Tak,N.K.I.L. 6604,1.0,117843.0,218087.0,Residential/Commercial,Superstructure in progress,"April, 2026",,0.006136082472648871,22.31676205,114.20283183
5,5,A site at Kam Tin,Lot 2206 in D.D. 109,1.0,171986.0,137584.0,Residential,Foundation work,"June, 2026",,0.00387105499601958,22.4416221,14.05966972
6,6,A site at Tuen Mun,T.M.T.L. 561,1.0,362883.0,1308380.0,Residential,Ground investigation work,"June, 2028",,0.03681249953259171,22.37430683,113.99130267
7,7,"A site at Sung Wong Toi, Kai Tak",N.K.I.L. 6649,1.0,214406.0,1293704.0,Residential/Commercial,Foundation to commence,"October, 2028",,0.03639957649559916,22.3215570471,114.186922586
8,8,"A site at Fung Yuen, Tai Po",Various lots in D.D. 11,1.0,747564.0,747564.0,Agricultural land,Planning,—,,0.02103341491048655,22.4664,114.1807
9,9,A site at Yuen Long,Lot 1457 R.P. in D.D. 123,0.6,8610937.0,5166562.2,Agricultural land,Planning,—,,0.1453660775711995,22.4367405,114.02348
10,10,A site at North District,Various lots,1.0,1215513.0,1215513.0,Agricultural land,Planning,—,,0.03419959930934374,22.5009,114.1558
11,11,Various sites at Yuen Long,Various lots,1.0,1718866.0,1718866.0,Agricultural land,Planning,—,,0.04836190848345878,22.4367405,114.02348
12,12,Various sites at Tai Po,Various lots,1.0,133472.0,133472.0,Agricultural land,Planning,—,,0.003755360015908284,22.4423,114.1655
13,13,"Blue Coast, Wong Chuk Hang","A.I.L. 467, Site C",1.0,240928.0,583715.0,Residential,Superstructure in progress,"December, 2024",,0.01642336948338156,22.24697085,114.1672613918102
14,14,Two adjoining sites at To Kwa Wan,K.I.L. 11275 & K.I.L. 11277,1.0,58334.0,416251.0,Residential/Commercial,Superstructure in progress,"March, 2025",,0.01171161263772057,22.3173,114.188
15,15,A site at Sai Ying Pun,I.L. 9089,1.0,16864.0,115852.0,Residential/Commercial,Foundation work,"October, 2026",,0.003259604775256283,22.2876,114.1417
16,16,A site at Wong Tai Sin,N.K.I.L. 6509,1.0,64721.0,374347.0,Residential,Ground investigation work,"March, 2028",,0.01053260426063308,22.3548,114.1974
17,17,"Cheung Kong Center, Central",I.L. 8887,1.0,,1289356.0,Office/Retail,Medium Term Lease,,,0.03627724143394451,22.2792782,114.1602726027919
18,18,"Cheung Kong Center I, Central",I.L. 8286,1.0,,504343.0,Under redevelopment,Long Lease,,,0.01419016375347063,22.2792782,114.1602726027919
19,19,"One and Two Harbourfront, Hung Hom","Sections A, B & R.P. of H.H.M.I.L. 6 & Extension",1.0,,938308.0,Office/Retail,Long Lease,,,0.02640017641008504,22.3037,114.1926
20,20,"The HUB, Aberdeen",A.I.L. 399,1.0,,342868.0,Office,Long Lease,,,0.009646913044941573,22.24906175,114.1643680715263
21,21,"Hutchison Telecom Tower (portion), Tsing Yi",T.Y.T.L. 139 section A,1.0,,300268.0,Office,Medium Term Lease,,,0.008448322054488948,22.344044,114.100998
22,22,"China Building, Central",I.L. 2317,1.0,,258751.0,Office/Retail,Medium Term Lease,,,0.007280202285695011,22.2817681,114.156834049706
23,23,"The Whampoa, Hung Hom",K.I.L. 10750 sections A to H & J to L,1.0,,1713980.0,Retail,Long Lease,,,0.04822443628676038,22.3045635,114.1890532759253
24,24,"OP Mall, Tsuen Wan",T.W.T.L. 401,1.0,,436476.0,Retail,Medium Term Lease,,,0.01228066199879813,22.3683557,114.1097658115552
25,25,"Aberdeen Centre (portion), Aberdeen",A.I.L. 302 & 308,1.0,,345026.0,Retail,Long Lease,,,0.009707630400749009,22.252086,114.158798
26,26,"Victoria Mall, Tsim Sha Tsui",K.I.L. 11086 R.P.,0.25,,143040.0,Retail,Medium Term Lease,,,0.004024564677801494,22.30264,114.168837
27,27,"1881 Heritage, Tsim Sha Tsui",K.I.L. 11161 R.P.,1.0,,140180.0,Retail/Hotel,Medium Term Lease,,,0.003944095892996459,22.2953504,114.1699475755114
28,28,"Celestial Place, Ho Man Tin",K.I.L. 1124,0.9,,82466.0,Retail,Medium Term Lease,,,0.002320258324381837,22.319175,114.185271
29,29,"Harbourview Horizon All-Suite Hotel, Hung Hom Bay",K.I.L. 11103,1.0,,1283918.0,Hotel,Medium Term Lease,,,0.03612423819905997,22.3025,114.1841
30,30,"Harbourfront Horizon All-Suite Hotel and Kowloon Harbourfront Hotel, Hung Hom Bay",K.I.L. 11110,1.0,,1156516.0,Hotel,Medium Term Lease,,,0.03253966333132182,22.3025,114.1841
31,31,"Harbour Plaza Resort City, Tin Shui Wai",T.S.W.T.L. 4,0.985,,651990.0,Hotel,Medium Term Lease,,,0.01834435070106121,22.45733675,114.0042464044795
32,32,"Harbour Grand Kowloon, Hung Hom","Sections A, B & R.P. of H.H.M.I.L. 6 & Extension",1.0,,623487.0,Hotel,Long Lease,,,0.01754239203906893,22.3026408,114.1924512902073
33,33,"Horizon Suite Hotel at Tolo Harbour, Ma On Shan",S.T.H.L. 461,1.0,,602778.0,Hotel,Medium Term Lease,,,0.01695972488363974,22.4277,114.2403
34,34,"Harbour Plaza Metropolis, Hung Hom",K.I.L. 1077,1.0,,461308.0,Hotel,Medium Term Lease,,,0.01297933362966479,22.3014874,114.1832698135831
35,35,"Harbour Grand Hong Kong, North Point",I.L. 7106 5A & Extension,1.0,,444988.0,Hotel,Medium Term Lease,,,0.01252015510937871,22.28915655,114.1914655346893
36,36,Harbour Plaza North Point,K.I.L. 8885,1.0,,343078.0,Hotel,Medium Term Lease,,,0.009652821592077608,22.29156,114.2087129803607
37,37,"The Kowloon Hotel, Tsim Sha Tsui",K.I.L. 10737,1.0,,329486.0,Hotel/Retail,Medium Term Lease,,,0.009270397912682488,22.29579205,114.1717254081802
38,38,"Hotel Alexandra, North Point",I.L. 8920,1.0,,322917.0,Hotel,Medium Term Lease,,,0.009085572931079594,22.2897423,114.1926541750928
39,39,"Sheraton Hong Kong Hotel & Towers, Tsim Sha Tsui",K.I.L. 9172,0.39,,260061.0,Hotel/Retail,Long Lease,,,0.007317060365448366,22.295297,114.1727401876592
40,40,"Harbour Plaza Degrees, Kowloon City",K.I.L. 4013 R.P.,1.0,,230565.0,Hotel,Long Lease,,,0.006487162716284267,22.32292745,114.1906938197852
41,41,"The Apex Horizon, Kwai Chung",K.C.T.L. 467 R.P.,1.0,,228087.0,Hotel,Medium Term Lease,,,0.006417441860079065,22.3667834,114.1370716231306
42,42,"Rambler Oasis Hotel, Tsing Yi",T.Y.T.L. 40,1.0,,213233.0,Hotel,Medium Term Lease,,,0.005999510625990254,22.34223155,114.1102517096298
43,43,"Rambler Garden Hotel, Tsing Yi",T.Y.T.L. 140,1.0,,210111.0,Hotel,Medium Term Lease,,,0.005911670225234548,22.34370675,114.110827537678
44,44,"Hutchison Logistics Centre (portion), Kwai Chung",K.C.L. & Extension,1.0,,4705141.0,Industrial/Office,Medium Term Lease,,,0.132383558953269,22.3669,114.1303
45,45,"Watson Centre, Kwai Chung",K.C.T.L. 258,1.0,,1687200.0,Industrial,Medium Term Lease,,,0.04747095584722232,22.3618944,114.1344856153258
46,46,"Conic Investment Building, Hung Hom",Subsection 1 of section O,1.0,,508885.0,Under redevelopment,Medium Term Lease,,,0.01431795718724142,22.3669,114.1303
47,47,,,,14405704.0,35541732.2,,,,,1.0,52.0748349,4.3152572
