District,Development or Invetsment ,Project Name,"28 Canton Road, Tsim Sha Tsu",Lease Expiry,Group's Interest (%),Residential,Shopping Centre/ Shops,Office,Hotel,Industrial,Total (square feet),group's ownership*total area (sq ft),
Hong Kong Island,Invested,One IFC / Two IFC / IFC Mall / Four Seasons Hotel Hong Kong / Four Seasons Place,"1 Harbour View Street / 8 Finance Street, Central",2047,50,-,"3,20,000","9,58,000","5,50,000",-,"18,28,000",914000,#DIV/0!
Hong Kong Island,Invested,Sun Hung Kai Centre,"30 Harbour Road, Wan Chai",2127,100,-,"53,000","8,51,000",-,-,"9,04,000",904000,#DIV/0!
Hong Kong Island,Invested,Central Plaza,"18 Harbour Road, Wan Chai",2047,50,-,-,"7,05,000",-,-,"7,05,000",352500,#DIV/0!
Hong Kong Island,Invested,Harbour North / Hyatt Centric Victoria Harbour Hong Kong,"123, 133 Java Road / 1 North Point Estate Lane, North Point",2062/2063,100,-,"1,45,000",-,"3,88,000",-,"5,33,000",533000,#DIV/0!
Hong Kong Island,Invested,World Trade Centre / wwwtc mall,"280 Gloucester Road, Causeway Bay",2842,100,-,"2,67,000","2,43,000",-,-,"5,10,000",510000,#DIV/0!
Hong Kong Island,Invested,Pacific View (Blocks 2 & 3),"38 Tai Tam Road, Southern",2047,100,"2,48,000",-,-,-,-,"2,48,000",248000,#DIV/0!
Hong Kong Island,Invested,Dynasty Court (Blocks 2 & 3),"23 Old Peak Road, Mid-levels",2886,100,"2,37,000",-,-,-,-,"2,37,000",237000,#DIV/0!
Kowloon,Invested,"ICC / Sky100 Hong Kong Observation Deck / The Ritz-Carlton, Hong Kong / W Hong Kong / The HarbourView Place",1 Austin Road West,2047,100,-,"29,000","24,95,000","10,23,000",-,"35,47,000",3547000,#DIV/0!
Kowloon,Invested,Millennium City 1(2),388 Kwun Tong Road,2047,100,-,"27,000","8,96,000",-,-,"9,23,000",923000,#DIV/0!
Kowloon,Invested,Millennium City 2,378 Kwun Tong Road,2047,50,-,-,"1,33,000",-,-,"1,33,000",66500,#DIV/0!
