,Unnamed: 0.1,Unnamed: 0,District,Development or Invetsment ,Project,Location,Lease Expiry,Group's Interest (%),Residential,Shopping Centre/ Shops,Office,Hotel,Industrial,Total (square feet),group's ownership X total area (sq ft),%_exposure,lat,lon,LCZ_Class_,LCZ_Filter_,Class_Probability_
0,0,0,Hong Kong Island,Invested,One IFC / Two IFC / IFC Mall / Four Seasons Hotel Hong Kong / Four Seasons Place,"1 Harbour View Street / 8 Finance Street, Central",2047,50,,320000,958000,550000,,1828000,914000,0.0216,22.285879,114.158134,1,1,88
1,1,1,Hong Kong Island,Invested,Sun Hung Kai Centre,"30 Harbour Road, Wan Chai",2127,100,,53000,851000,,,904000,904000,0.0214,22.2803294,114.1769378,1,1,100
2,2,2,Hong Kong Island,Invested,Central Plaza,"18 Harbour Road, Wan Chai",2047,50,,,705000,,,705000,352500,0.0083,22.2800577,114.1736401,1,1,100
3,3,3,Hong Kong Island,Invested,Harbour North / Hyatt Centric Victoria Harbour Hong Kong,"123, 133 Java Road / 1 North Point Estate Lane, North Point",2062/2063,100,,145000,,388000,,533000,533000,0.0126,22.293291,114.161133,17,17,100
4,4,4,Hong Kong Island,Invested,World Trade Centre / wwwtc mall,"280 Gloucester Road, Causeway Bay",2842,100,,267000,243000,,,510000,510000,0.0121,22.2816492,114.1842349,1,1,100
5,5,5,Hong Kong Island,Invested,Pacific View (Blocks 2 & 3),"38 Tai Tam Road, Southern",2047,100,248000,,,,,248000,248000,0.0059,22.23634389,114.2223167,12,12,96
6,6,6,Hong Kong Island,Invested,Dynasty Court (Blocks 2 & 3),"23 Old Peak Road, Mid-levels",2886,100,237000,,,,,237000,237000,0.0056,22.27615675,114.1523558,12,11,56
7,7,7,Kowloon,Invested,"ICC / Sky100 Hong Kong Observation Deck / The Ritz-Carlton, Hong Kong / W Hong Kong / The HarbourView Place",1 Austin Road West,2047,100,,29000,2495000,1023000,,3547000,3547000,0.084,22.30498555,114.161531,1,1,84
8,8,8,Kowloon,Invested,Millennium City 1(2),388 Kwun Tong Road,2047,100,,27000,896000,,,923000,923000,0.0219,22.3136565,114.221455,1,1,100
9,9,9,Kowloon,Invested,Millennium City 2,378 Kwun Tong Road,2047,50,,,133000,,,133000,66500,0.0016,22.31108799,114.2279465,1,1,100
10,10,10,Kowloon,Invested,Millennium City 5 / APM,418 Kwun Tong Road,2052,100,,598000,308000,,,906000,906000,0.0215,22.3121418,114.2251348,1,1,100
11,11,11,Kowloon,Invested,Millennium City 6,392 Kwun Tong Road,2047,100,,32000,370000,,,402000,402000,0.0095,22.3132987,114.2220255,1,1,100
12,12,12,Kowloon,Invested,The Millennity,"98 How Ming Street, Kwun Tong",2047,71.9,,,467000,,,467000,335773,0.0079,22.3126444,114.2214258,1,1,100
13,13,13,Kowloon,Invested,Grand Century Place / MOKO / Royal Plaza Hotel,"193 Prince Edward Road West, Mong Kok",2047,100,,725000,475000,400000,,1600000,1600000,0.0379,22.3231837,114.1722866,1,1,76
14,14,14,Kowloon,Invested,TOWNPLACE WEST KOWLOON,"10 Lai Ying Street, West Kowloon",2067,100,,,,374000,,374000,374000,0.0089,22.30282,114.161308,10,1,76
15,15,15,Kowloon,Invested,V Walk,"28 Sham Mong Road, West Kowloon",2062,100,,298000,,,,298000,298000,0.0071,22.32785,114.15415,1,1,100
16,16,16,Kowloon,Invested,The Royal Garden,"69 Mody Road, Tsim Sha Tsui",2127,100,,,,295000,,295000,295000,0.007,22.29849145,114.177615,1,1,100
17,17,17,Kowloon,Invested,Kerry Hung Kai Warehouse,"3 Fat Tseung Street, Cheung Sha Wan",2047,50,,,,,285000,285000,142500,0.0034,22.3380694,114.1573056,1,1,100
