X,Y,DailyMeanPressure_AllYear_url,DailyMeanPressure_CurrentYear_u,WeatherStationName_en,WeatherStationName_sc,WeatherStationName_uc,OBJECTID
12681732.8452404,2548718.50425162,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MSLP_2024.csv,Hong Kong International Airport,香港国际机场,香港國際機場,1
12693390.4705587,2535688.21041694,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MSLP_2024.csv,Cheung Chau,长洲,長洲,2
12709810.0954508,2547816.08158784,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MSLP_2024.csv,Hong Kong Observatory,香港天文台,香港天文台,3
12688597.5475437,2567914.85009056,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MSLP_2024.csv,Lau Fau Shan,流浮山,流浮山,4
12695245.7946632,2546512.67172604,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MSLP_2024.csv,Peng Chau,坪洲,坪洲,5
12713799.0434998,2559919.27342553,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MSLP_2024.csv,Sha Tin,沙田,沙田,6
12699853.1848225,2563966.76309355,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MSLP_2024.csv,Shek Kong,石岗,石崗,7
12702790.7826199,2571897.33219852,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MSLP_2024.csv,Sheung Shui,上水,上水,8
12707862.0043619,2575110.79391983,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MSLP_2024.csv,Ta Kwu Ling,打鼓岭,打鼓嶺,9
12710136.6322527,2565425.17175897,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MSLP_2024.csv,Tai Po (Yuan Chau Tsai Park),大埔（元洲仔公园）,大埔（元洲仔公園）,10
12724188.8622694,2533417.29048379,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MSLP_2024.csv,Waglan Island,横澜岛,橫瀾島,11
12691411.4571417,2567647.15653178,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MSLP_2024.csv,Wetland Park,湿地公园,濕地公園,12
