Unnamed: 0,Property Name,GFA,"IFA
(sq ft)",Unnamed: 3,Car Parking Spaces,"Annual Net 
Passing Income
(HKD Million)","Capitalisation 
Rate","Value as at 
31 March 2024
(HKD Million)","Analysis
Initial 
Yield",MV as % of total ,Property,lat,lon
0,Lok Fu Place,,"3,64,312",,793,320.5,3.83%,"7,620.00",4.21%,4.21%,Lok Fu Place,22.337618300000003,114.18758463605012
1,T Town,,"2,07,001",,"1,177",273,4.07%,"5,791.50",4.71%,3.20%,T Town,22.4622,113.9978
2,Tsz Wan Shan Shopping Centre,,"1,96,744",,940,210.2,4.37%,"4,419.60",4.76%,2.44%,Tsz Wan Shan Shopping Centre,22.348170500000002,114.20058441087156
3,TKO Gateway,,"1,65,981",,623,202.9,4.07%,"4,363.20",4.65%,2.41%,TKO Gateway,22.3171896,114.26640352874207
4,Temple Mall South,,"1,45,515",,688,188.6,4.15%,"3,984.20",4.73%,2.20%,Temple Mall South,22.3413757,114.19432938234462
5,Kai Tin Shopping Centre,,"1,79,026",,461,179.4,4.02%,"4,101.20",4.38%,2.27%,Kai Tin Shopping Centre,22.30828315,114.2352446
6,TKO Spot,,"1,29,796",,"1,280",186.8,4.22%,"3,941.50",4.74%,2.18%,TKO Spot,22.3107072,114.2589894
7,Temple Mall North,,"1,37,447",,473,145.3,3.98%,"3,339.50",4.35%,1.85%,Temple Mall North,22.342209949999997,114.19222433832557
8,Sau Mau Ping Shopping Centre,,"1,54,356",,611,196.3,4.00%,"4,346.70",4.52%,2.40%,Sau Mau Ping Shopping Centre,22.319559849999997,114.23210211325673
9,Cheung Fat Plaza,,"1,65,572",,590,160.1,4.36%,"3,289.60",4.87%,1.82%,Cheung Fat Plaza,22.3625519,114.10330960154904
10,Leung King Plaza,,"1,83,690",,616,158.7,4.46%,"3,134.50",5.06%,1.73%,Leung King Plaza,22.4063547,113.96271972820222
11,Wo Che Plaza,,"1,70,738",,828,146.7,4.16%,"3,113.00",4.71%,1.72%,Wo Che Plaza,22.3878032,114.19589340636426
12,Yat Tung Shopping Centre,,"1,93,035",,"1,900",175.7,4.43%,"3,382.10",5.19%,1.87%,Yat Tung Shopping Centre,22.2814706,113.9348453003112
13,Choi Ming Shopping Centre,,"92,804",,765,151.5,4.35%,"3,011.60",5.03%,1.66%,Choi Ming Shopping Centre,22.306962149999997,114.25227389840032
14,Butterfly Plaza,,"1,74,747",,313,158,4.13%,"3,506.90",4.50%,1.94%,Butterfly Plaza,22.3747544,113.96340080752071
15,Choi Yuen Plaza,,"1,25,394",,536,154.2,4.46%,"2,842.70",5.42%,1.57%,Choi Yuen Plaza,22.50067385,114.12624682374374
16,Tin Chak Shopping Centre,,"1,30,819",,302,142.9,4.37%,"2,898.70",4.93%,1.60%,Tin Chak Shopping Centre,22.46845545,113.99874406845134
17,Tai Wo Plaza,,"1,25,178",,454,128,4.46%,"2,567.60",4.99%,1.42%,Tai Wo Plaza,22.45089415,114.16094669088774
18,Yau Mei & Ko Cheung (Lei Yue Mun Plaza),,"1,02,608",,-,148.8,4.40%,"2,852.20",5.22%,1.58%,Yau Mei & Ko Cheung (Lei Yue Mun Plaza),22.3022604,114.2373164
19,Tin Shing Shopping Centre,,"78,235",,"1,458",132,4.25%,"2,711.90",4.87%,1.50%,Tin Shing Shopping Centre,22.44894825,114.00274756877869
20,Tin Yiu Plaza,,"93,443",,480,123.4,4.37%,"2,433.80",5.07%,1.34%,Tin Yiu Plaza,22.451159500000003,114.00319030787128
21,Chuk Yuen Plaza,,"1,38,459",,"1,103",117.6,4.42%,"2,401.00",4.90%,1.33%,Chuk Yuen Plaza,22.38274175,114.19129271248791
22,Siu Sai Wan Plaza,,"99,942",,558,113.7,4.50%,"2,260.50",5.03%,1.25%,Siu Sai Wan Plaza,22.26279395,114.2486410949614
23,Fu Tung Plaza,,"1,04,879",,537,119.5,4.46%,"2,404.80",4.97%,1.33%,Fu Tung Plaza,22.28870405,113.94228113301048
24,Tin Shui Shopping Centre,,"74,948",,577,109.7,4.39%,"2,211.40",4.96%,1.22%,Tin Shui Shopping Centre,22.45589535,113.99837074055345
25,Chung On Shopping Centre,,"82,430",,995,108.1,4.39%,"2,159.90",5.01%,1.19%,Chung On Shopping Centre,22.4218575,114.22667873472102
26,Sha Kok Commercial Centre,,"96,488",,662,105.1,4.36%,"2,142.30",4.91%,1.18%,Sha Kok Commercial Centre,22.3199891,114.16609839545195
27,Choi Wan Commercial Complex,,"1,79,260",,859,103.4,4.43%,"2,174.10",4.75%,1.20%,Choi Wan Commercial Complex,22.25323635,114.13623458488084
28,Tak Tin Plaza,,"97,642",,754,99.2,4.30%,"2,176.90",4.56%,1.20%,Tak Tin Plaza,22.31038505,114.23794873147475
29,Oi Man Plaza,,"1,80,474",,808,96.9,4.44%,"2,018.90",4.80%,1.12%,Oi Man Plaza,22.3120306,114.17867908684131
30,Nan Fung Plaza,,"80,837",,-,68.6,4.10%,"1,608.90",4.26%,0.89%,Nan Fung Plaza,22.314429,114.26383917996982
31,Fu Shin Shopping Centre,,"1,06,361",,525,86.3,4.34%,"1,873.50",4.61%,1.04%,Fu Shin Shopping Centre,22.4537866,114.17487441239217
32,Shun Lee Commercial Centre,,"1,99,440",,731,92.5,4.48%,"1,937.10",4.78%,1.07%,Shun Lee Commercial Centre,22.28792755,114.15186463651807
33,Homantin Plaza,,"1,00,945",,299,78.9,4.46%,"1,632.30",4.83%,0.90%,Homantin Plaza,22.3177157,114.1812501
34,Heng On Commercial Centre,,"1,16,022",,585,87.3,4.30%,"1,902.50",4.59%,1.05%,Heng On Commercial Centre,22.41720875,114.22564035717792
35,Po Tat Shopping Centre,,"82,269",,"1,083",88.7,4.08%,"2,002.30",4.43%,1.11%,Po Tat Shopping Centre,22.31738035,114.23627972384186
36,Yu Chui Shopping Centre,,"1,12,769",,"1,175",87.3,4.11%,"1,834.40",4.76%,1.01%,Yu Chui Shopping Centre,22.3819946,114.20523008653902
37,Tai Yuen Commercial Centre,,"1,36,497",,594,83.1,4.41%,"1,780.30",4.67%,0.98%,Tai Yuen Commercial Centre,22.443108799999997,114.02796024425501
38,Kwong Yuen Shopping Centre,,"81,542",,736,84.8,4.30%,"1,707.30",4.97%,0.94%,Kwong Yuen Shopping Centre,22.3808359,114.21554210983808
39,Hin Keng Shopping Centre,,"94,277",,636,89.9,4.32%,"1,838.30",4.89%,1.02%,Hin Keng Shopping Centre,22.3629641,114.1713146798723
40,Lek Yuen Plaza,,"1,06,134",,438,81.6,4.26%,"1,732.30",4.71%,0.96%,Lek Yuen Plaza,22.38468615,114.19191475609315
41,Tsui Ping North Shopping Circuit,,"1,13,729",,421,76.3,4.21%,"1,818.60",4.20%,1.00%,Tsui Ping North Shopping Circuit,22.5035506,114.1338886
42,Stanley Plaza,,"98,934",,411,43.2,4.24%,"1,270.60",3.40%,0.70%,Stanley Plaza,22.2193618,114.20981027905319
43,Sun Chui Shopping Centre,,"75,543",,620,71.1,4.25%,"1,492.60",4.76%,0.82%,Sun Chui Shopping Centre,22.36916015,114.18111736318153
44,Nam Cheong Place,,"57,091",,547,73.6,4.25%,"1,576.10",4.67%,0.87%,Nam Cheong Place,22.3273146,114.15509643734704
45,Fung Tak Shopping Centre,,"68,490",,487,57.7,4.24%,"1,371.70",4.21%,0.76%,Fung Tak Shopping Centre,22.3431457,114.2000439
46,Tai Hing Commercial Centre,,"1,02,351",,672,61.7,4.41%,"1,362.90",4.53%,0.75%,Tai Hing Commercial Centre,22.31376625,114.16906165398579
47,Fu Tai Shopping Centre,,"61,288",,635,67.3,4.15%,"1,430.70",4.70%,0.79%,Fu Tai Shopping Centre,22.4133917,113.98276159647465
48,Long Ping Commercial Centre,,"92,061",,564,69.6,4.45%,"1,459.80",4.77%,0.81%,Long Ping Commercial Centre,22.450330049999998,114.02323916657838
49,Oi Tung Shopping Centre,,"81,029",,634,66.4,4.29%,"1,390.50",4.78%,0.77%,Oi Tung Shopping Centre,22.2806291,114.2277677
50,Po Lam Shopping Centre,,"86,730",,398,60.5,4.46%,"1,285.30",4.71%,0.71%,Po Lam Shopping Centre,22.322749,114.24900992326339
51,Mei Lam Shopping Centre,,"75,989",,375,63.5,4.26%,"1,355.20",4.68%,0.75%,Mei Lam Shopping Centre,22.3160164,114.17194717722089
52,Hing Wah Plaza,,"82,011",,268,62.2,4.40%,"1,247.60",4.98%,0.69%,Hing Wah Plaza,22.262502750000003,114.23581980493805
53,Fu Heng Shopping Centre,,"55,030",,517,64.5,4.33%,"1,280.80",5.03%,0.71%,Fu Heng Shopping Centre,22.458172949999998,114.17124511687521
