District,Sub-District,Estate,Link
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060
Central and Western,Kennedy Town,(Kennedy Town) Serene Cou...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Serene%20Court%20%7C%20Hing%20Wong%20Building%20%7C%20Grand%20Fortune%20Mansion%20%7C%20Shun%20On%20Building%20%7C%20Shun%20Fai%20Building%20%7C%20Chi%20Ping%20Building%20%7C%20Houston%20Court%20%7C%20Timley%20Court%20%7C%20Sai%20On%20House%20(Kennedy%20Town%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0061
Central and Western,Kennedy Town,(Kennedy Town) Hang Yu Bu...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Hang%20Yu%20Building%20%7C%20Kam%20Ho%20Court%20%7C%20Ka%20Fu%20Building%20%7C%20Ka%20On%20Building%20%7C%20Huncliff%20Court%20%7C%20Regent%20Height%20%7C%20Cheong%20Kat%20Mansion%20%7C%20Full%20Harvest%20Building%20%7C%20Hau%20Wo%20Court%20(West%20of%20Smithfield%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0062
Central and Western,Kennedy Town,(Kennedy Town) The Merton...,"https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20The%20Merton%20(New%20Praya,%20Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0063"
Central and Western,Kennedy Town,(Kennedy Town) Manhattan ...,"https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Manhattan%20Heights%20%7C%20Belcher's%20Hill%20%7C%20Lexington%20Hill%20%7C%20Imperial%20Kennedy%20%7C%20The%20Hudson%20%7C%20Cadogan%20(New%20Praya,%20Kennedy%20Town%20%7C%20Rock%20Hill%20Street%20%7C%20Belcher's%20Street%20%7C%20Davis%20Street%20%7C%20Cadogan%20Street%202010's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0064"
Central and Western,Kennedy Town,(Kennedy Town) Sai Wan Ne...,"https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Sai%20Wan%20New%20Apartments%20%7C%20Sincere%20Western%20House%20%7C%20May%20Sun%20Building%20(Belcher's%20Street%20%7C%20Cadogan%20Street%20%7C%20New%20Praya,%20Kennedy%20Town%201960's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0065"
Central and Western,Kennedy Town,(Kennedy Town) New Fortun...,"https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20New%20Fortune%20%7C%20Wah%20Po%20Mansion%20(New%20Praya,%20Kennedy%20Town%20%7C%20North%20Street%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0066"
Central and Western,Kennedy Town,(Kennedy Town) On Fat Bui...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20On%20Fat%20Building%20%7C%20Kin%20Liong%20Mansion%20%7C%20Sun%20Court%20%7C%20Lungga%20Mansion%20%7C%20Ka%20Ming%20Building%20%7C%20Nan%20Sang%20Building%20%7C%20Kam%20Fai%20Building%20%7C%20Kam%20Tong%20Mansion%20%7C%20Sands%20House%20%7C%20Yue%20On%20Building%20(Kennedy%20Town%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0067
Central and Western,Kennedy Town,(Kennedy Town) Tung Hing ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Tung%20Hing%20Mansion%20%7C%20Hang%20Fai%20Building%20%7C%20Kennedy%20Mansion%20%7C%20Po%20Fat%20Building%20%7C%20Kelley%20Court%20%7C%20Kuk%20Fung%20Building%20%7C%20Shing%20Tai%20Building%20%7C%2010-16%20Pokfield%20Road%20and%20other%20buildings%20(Kennedy%20Town%201960-1970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0068
Central and Western,Kennedy Town,(Kennedy Town) Sum Way Ma...,"https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Sum%20Way%20Mansion%20%7C%20Sea%20View%20Mansion%20%7C%20Nam%20Hung%20Mansion%20(Praya,%20Kennedy%20Town%20%7C%20Des%20Voeux%20Road%20West%20%7C%20Belcher's%20Street%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0069"
