variable ,identifier ,unit,type,,,
Total stock,t_pop,units,,,,
Total saleable area,dh_r4,thousand s.f.,,,,
Average building age,wp,years,,,,
Average saleable area of units,wp_ee,s.f.,,,,
Stock distribution by age of private domestic Pre 1970,dhi_2,,,,,
1970-79,dhi_3,,,,,
1980-89,dhi_xfdh_1,,,,,
1990-99,dhi_xfdh_2,,,,,
2000-09,dhi_xfdh_3,,,,,
Post 2009,dhn_c,,,,,
Stock distribution by age of private domestic (percentage) Pre 1970,ma_o,%,,,,
1970-79,ma_f,%,,,,
1980-89,sr,%,,,,
1990-99,age_1,%,,,,
2000-09,age_2,%,,,,
Post 2009,age_3,%,,,,
Stock distribution by area class of private domestic - Class A,dhn_nc,,,,,
Class B,ma_hh,,,,,
Class C,dh_r1,,,,,
Class D&E,dh_r3,,,,,
Stock distribution by area class of private domestic (percentage)- Class A,nm_f,%,,,,
Class B,born_hk,%,,,,
Class C,born_chi,%,,,,
Class D&E,born_else,%,,,,
Secondary sales by registration date - Transaction volume,s_bus,,,,,
Transaction amount,s_mtr,,,,,
Transaction area,s_foot,s.f.,,,,
Average unit price,s_sb,/s.f.,,,,
Turnover rate,s_oth,%,,,,
Transaction volume by age of private domestic according to registration date- Pre 1970,whr_1_xfdh,,,,,
1970-79,whr_2_xfdh,,,,,
1980-89,whr_3_xfdh,,,,,
1990-99,wp_dc,,,,,
2000-09,wp_bus,,,,,
Post 2009,wp_mtr,,,,,
Turnover by age of private domestic according to registration date- Pre 1970,wp_foot,%,,,,
1970-79,wp_plb,%,,,,
1980-89,wp_oth,%,,,,
1990-99,nwp,%,,,,
2000-09,nwp_stu,%,,,,
Post 2009,nwp_nonstu,%,,,,
Transaction volume by area class of private domestic - Class A,dhz_1,,,,,
Class B,dhz_2,,,,,
Class C,dhz_3,,,,,
Class D&E,adhz,,,,,
Class A,dhc_1,%,,,,
Class B,dhc_2,%,,,,
Class C,dhc_3,%,,,,
Class D&E,dhi_1,%,,,,
Secondary sales by instrument date - Transaction volume,ul_eng,,,,,
Transaction amount,edu_pri,,,,,
Transaction area,edu_sec,s.f.,,,,
Average unit price,edu_ter,/s.f.,,,,
Turnover rate,s_dc,%,,,,
Transaction volume - Pre 1970,wp_er,,,,,
1970-79,wp_fw,,,,,
1980-89,wp_a,,,,,
1990-99,wp_b,,,,,
2000-09,wp_c,,,,,
Post 2009,wp_d,,,,,
Turnover rate - Pre 1970,wp_e,%,,,,
1970-79,wp_f,%,,,,
1980-89,wp_g,%,,,,
1990-99,wp_h,%,,,,
2000-09,wp_i,%,,,,
Post 2009,mi_1,%,,,,
Transaction volume - Class A,mi_2,,,,,
Class B,mi_3,,,,,
Class C,mi_1_xfdh,,,,,
Class D&E,mi_2_xfdh,,,,,
Turnover rate - Class A,mi_3_xfdh,%,,,,
Class B,whr_1,%,,,,
Class C,whr_2,%,,,,
Class D&E,whr_3,%,,,,
Total population,census_t_pop,,Demographics ,,,
Sex ratio,census_sr,,Demographics ,,,
Age < 15,census_age_1,,Demographics ,,,
15 - 39,census_age_2,,Demographics ,,,
40 - 64,census_age_3,,Demographics ,,,
65+,census_age_4,,Demographics ,,,
median age - Male,census_ma_m,,Demographics ,,,
Female,census_ma_f,,Demographics ,,,
Both sexes,census_ma_o,,Demographics ,,,
Marital status of population aged 15 and over - Never-married male,census_nm_m,,Demographics ,,,
Never-married female,census_nm_f,,Demographics ,,,
Usual spoken languageof population aged 5 and over - Cantonese,census_ul_can,,Demographics ,,,
Putonghua and other Chinese dialects,census_ul_put,,Demographics ,,,
English and other languages,census_ul_eng,,Demographics ,,,
Place of birth - Hong Kong,census_born_hk,,Demographics ,,,
The mainland of China/ Macao/ Taiwan,census_born_chi,,Demographics ,,,
Elsewhere,census_born_else,,Demographics ,,,
Population aged 15 and over in Housing Market Area - Educational attainment (highest level attended) - Primary and below,census_edu_pri,,Education ,,,
Secondary,census_edu_sec,,Education ,,,
Post-secondary,census_edu_ter,,Education ,,,
Population studying full-time courses in educational institutions in Hong Kong - Studying and living  in the same District Council district,census_s_dc,,Education ,,,
Population studying full-time courses in educational institutions in Hong Kong - Main mode of transport to place of study - Mass Transit Railway (Local line),census_s_mtr,,Education ,,,
On foot only,census_s_foot,,Education ,,,
Bus,census_s_bus,,Education ,,,
School bus/ school private light bus,census_s_sb,,Economic,,,
Others,census_s_oth,,Economic,,,
Working population,census_wp,,Economic,,,
Employees,census_wp_ee,,Economic,,,
Employers,census_wp_er,,Economic,,,
Self-employed and unpaid family workers,census_wp_fw,,Economic,,,
Non-working population,census_nwp,,Economic,,,
Students,census_nwp_stu,,Economic,,,
Non-students,census_nwp_nonstu,,Economic,,,
Composition of working population by occupation - Managers,census_wp_a,,Economic,,,
Professionals and associate professionals,census_wp_b,,Economic,,,
Clerical support workers and service and sales workers,census_wp_c,%,Economic,,,
Craft and related workers; and plant and machine operators and assemblers,census_wp_d,,Economic,,,
Elementary occupations -  skilled agricultural and fishery workers; and occupations not classifiable,skilled agricultural and fishery workers; and occupations not classifiable,,Economic,,,
"Composition of working population by industry - Import/export, wholesale and retail trades, accommodation and food services 19.00%16.80%",,,Economic,,,
"Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services",,,Economic,,,
"Public administration, education, human health and social work activities, miscellaneous social and personal services",,HK$,Economic,,,
"Manufacturing, construction, and other industries",,HK$,Economic,,,
Monthly income from main employment  of working population* - Upper quartile,census_mi_3,HK$,Economic,,,
Median,census_mi_2,HK$,Economic,,,
Lower quartile,census_mi_1,HK$,Economic,,,
Monthly income from main employment of working population(excluding foreign domestic helpers)* - Upper quartile,census_mi_3_xfdh,HK$,Economic,,,
Median,census_mi_2_xfdh,hours,Economic,,,
Lower quartile,census_mi_1_xfdh,hours,Economic,,,
Weekly usual hours of work of all employment - Upper quartile,census_whr_3,hours,Economic,,,
Median,census_whr_2,hours,Economic,,,
Lower quartile,census_whr_1,hours,Economic,,,
Weekly usual hours of work  of all employment(excluding foreign domestic helpers) - Upper quartile,census_whr_3_xfdh,hours,Economic,,,
Median,census_whr_2_xfdh,,Economic,,,
Lower quartile,census_whr_1_xfdh,,Economic,,,
Working population with fixed place of work in Hong Kong  - Working and living in the same District Council district (including those working at home),census_wp_dc,,Economic,,,
Working population with fixed place of work in Hong Kong - Main mode of transport to place of work - Mass Transit Railway (Local line),census_wp_mtr,,Economic,,,
Bus,census_wp_bus,,Household,,,
On foot only,census_wp_foot,,Household,,,
Public light bus,census_wp_plb,,Household,,,
Others,census_wp_oth,,Household,,,
Number of domestic households,census_dh,,Household,,,
Household size - 1 to 3,census_dhz_1,,Household,,,
