info-date,cv-structured-list-data,iconfont,tranPrice,riseBox,cv-structured-list-data 2,cv-structured-list-data 3,label
4/11/2024,80 Robinson Road・Block 2・Lower Floor・Flat C,,$19M,--,840ft²,"@$22,619",Centaline
4/11/2024,Belvedere Garden・Phase 3・Block 7・Middle Floor・Flat B,,$6.78M,--,742ft²,"@$9,137",Centaline
4/11/2024,Ocean Pointe・Tower 2・Upper Floor・Flat D,,$8.95M,--,778ft²,"@$11,504",Centaline
4/11/2024,Sea Crest Villa・Phase 3・Block 10・Middle Floor・Flat D,,$4.74M,--,460ft²,"@$10,300",Centaline
4/11/2024,Harbour One・Middle Floor・Flat B,,$17M,--,662ft²,"@$25,680",Centaline
4/11/2024,Festival City・Phase 2・Tower 2・Upper Floor・Flat Sa,,$10.58M,--,741ft²,"@$14,278",Centaline
4/11/2024,Sausalito・Tower 7・Lower Floor・Flat F,,$8.3M,--,701ft²,"@$11,840",Centaline
4/11/2024,Discovery Bay・Phase 4-Peninsula Vl Capeland・Blossom Court・Upper Floor・Flat A,,$4.4M,--,546ft²,"@$8,059",Centaline
4/11/2024,Marble Garden・Tower 2・Lower Floor・Flat C,,$5.68M,--,470ft²,"@$12,085",Centaline
4/11/2024,The Rise・Lower Floor・Flat Rc,,$5M,--,518ft²,"@$9,653",Centaline
4/11/2024,Lei On Court・Lei King House (Block E)・Upper Floor・Flat 2,,$6.52M,--,650ft²,"@$10,031",Centaline
4/11/2024,Ching Lai Court・Lai Sau House (Block G)・Upper Floor・Flat 5,,$3.8M,--,388ft²,"@$9,794",Centaline
4/11/2024,Cullinan West・Phase 3 Cullinan West Il・Tower 3B・Upper Floor・Flat F,,$6.98M,--,350ft²,"@$19,943",Centaline
4/11/2024,Hong Kong Garden・Phase 1・Block 4・Middle Floor・Flat D,,$4.15M,--,561ft²,"@$7,398",Centaline
4/11/2024,Hong Lok Yuen・Twenty-Sixth Street,,$26M,--,"1,628ft²","@$15,971",Centaline
4/11/2024,Palace Garden・Block A・Upper Floor・Flat A2,,$18.5M,--,"1,367ft²","@$13,533",Centaline
4/11/2024,Galaxia・Tower C・Upper Floor・Flat 6,,$7.58M,--,593ft²,"@$12,782",Centaline
4/11/2024,Lohas Park・Phase 1 The Capitol・Milan (Tower 3 - L Wing)・Lower Floor・Flat B,,$8.86M,--,840ft²,"@$10,548",Centaline
4/11/2024,Stars By The Harbour・Tower 3・Middle Floor・Flat A,,$22.8M,--,"1,130ft²","@$20,177",Centaline
4/11/2024,Aqua Marine・Tower 1・Lower Floor・Flat G,,$7.13M,--,494ft²,"@$14,429",Centaline
4/11/2024,Mei Foo Sun Chuen・Phase 3・49-51 Broadway・Upper Floor・Flat C No. 49,,$5.5M,--,511ft²,"@$10,763",Centaline
4/11/2024,Alto Residences・Tower 7・Lower Floor・Flat J,,$5.95M,--,440ft²,"@$13,523",Centaline
4/11/2024,Lai Tsui Court・Tower 4 (Lai Ki House)・Lower Floor・Flat 9,,$2.61M,--,281ft²,"@$9,281",Centaline
