PRIVATE  OFFICES  -  AVERAGE  RENTS  BY  GRADE  AND  DISTRICT [MONTHLY],blob:https://data.gov.hk/8eb18a03-9b39-4998-869b-19c0814813d7
PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [MONTHLY],blob:https://data.gov.hk/8b9efa20-ee9f-47c6-a40b-64c22b31fb7c
PRIVATE  OFFICES  -  RENTAL  INDICES  BY  GRADE  (ALL  DISTRICTS) [MONTHLY],blob:https://data.gov.hk/25de65c1-4f22-4313-a4e0-0a19dd082a08
PRIVATE  OFFICES  -  PRICE  INDICES  BY  GRADE  (ALL  DISTRICTS) [MONTHLY],blob:https://data.gov.hk/d85e26c3-6dac-43ff-8f94-346cc0cfc1fb
PRIVATE  OFFICES  -  RENTAL  AND  PRICE  INDICES  FOR  GRADE  A  OFFICES  IN  CORE  DISTRICTS [MONTHLY],blob:https://data.gov.hk/95f6a12a-d44c-458a-a5cf-723a50e2d549
PRIVATE  RETAIL  -  AVERAGE  RENTS  AND  PRICES [MONTHLY],blob:https://data.gov.hk/83da7a0b-6c47-4eb6-9c3f-c9920e7ff19b
PRIVATE  RETAIL  -  RENTAL  AND  PRICE  INDICES [MONTHLY],blob:https://data.gov.hk/06ec6f64-8df0-4e4f-b2b5-86225890e9f8
PRIVATE  FLATTED  FACTORIES  -  AVERAGE  RENTS  AND  PRICES [MONTHLY],blob:https://data.gov.hk/dfb5c4f0-02d1-466c-951a-a7fa9625f938
PRIVATE  FLATTED  FACTORIES  -  RENTAL  AND  PRICE  INDICES [MONTHLY],blob:https://data.gov.hk/13adba1d-daef-4141-839d-54f12704077a
PROPERTY  MARKET  YIELDS  -  PRIVATE  NON-DOMESTIC [MONTHLY [NON-DOMESTIC]],blob:https://data.gov.hk/cc8a60a6-6c62-4bc0-9c7b-a82f03cb31a9
NON-DOMESTIC  SALES  -  NUMBER  OF  TRANSACTIONS  AND  CONSIDERATION  BY  PROPERTY  TYPE,blob:https://data.gov.hk/95229df2-1aeb-4191-9a80-edacb416966c
PRIVATE   OFFICES  - COMPLETIONS BY   GRADE,blob:https://data.gov.hk/33e1a3ba-e161-4ac8-b582-528f868adf62
PRIVATE   OFFICES  -  STOCK   AT   YEAR   END   BY   GRADE,blob:https://data.gov.hk/5189f384-d355-4378-9cb6-59916bed1bfe
PRIVATE   OFFICES  -  VACANCY   AT   YEAR   END   BY   GRADE,blob:https://data.gov.hk/49d848ea-2c2e-4f48-95d9-ab0d47d3c22c
PRIVATE   OFFICES  -  TAKE-UP   BY   GRADE,blob:https://data.gov.hk/281d67d5-8457-4c40-90c5-86d4cd7a0ba4
"PRIVATE   COMMERCIAL  -  COMPLETIONS,   STOCK,   VACANCY   AND   TAKE-UP",blob:https://data.gov.hk/4cddbf47-1587-474e-961f-c16a832c16ee
"PRIVATE   FLATTED   FACTORIES  -  COMPLETIONS,   STOCK,   VACANCY   AND   TAKE-UP",blob:https://data.gov.hk/329c9c7c-ee40-4042-b10b-958fd08dadae
"PRIVATE   INDUSTRIAL/OFFICE  -  COMPLETIONS,   STOCK,   VACANCY   AND   TAKE-UP",blob:https://data.gov.hk/65ceba9e-dc06-42c5-ba48-e760d9a05009
PRIVATE   SPECIALISED   FACTORIES  -  COMPLETIONS   AND   STOCK,blob:https://data.gov.hk/de6c068a-43dd-4dc6-8c8f-0fad4725b52b
"PRIVATE   STORAGE  -  COMPLETIONS,   STOCK   AND   VACANCY",blob:https://data.gov.hk/0de864a9-045d-43e1-8397-79c5ba365ce9
PRIVATE OFFICES - STOCK AND VACANCY BY GRADE AND DISTRICT,blob:https://data.gov.hk/ced28b51-9551-460a-9122-3408055cfc03
PRIVATE OFFICES - COMPLETIONS AND FORECAST COMPLETIONS BY DISTRICT,blob:https://data.gov.hk/b4db8d69-e2f1-4513-81ec-a79e4d26b8de
PRIVATE OFFICES - FORECAST COMPLETIONS BY GRADE AND DISTRICT,blob:https://data.gov.hk/4cb7e64e-c16a-474f-886c-9a5cfe662323
