INCID,OGDINCID,CALLFROM,CALLDATE,FAILDATE,EASTING,NORTHING,LOCATION,SLOPENUM,FEATTYPE,SCALE,FACAFF,CONSEC,CONSEC - DEATHNO,CONSEC - INJURYNO,CONSEC - EVACUATED,CONSEC - ROADCLOSED
2023/02/3169,-,Public,13/02/2023,08/08/2022,842108,821556,"House No. 2, Lung Wo Village, Sai Kung",11NE-B/C261,Soil cut,1.1,Registered squatter dwelling,-,-,-,-,-
2022/11/3164,-,Public,24/11/2022,24/11/2022,842451,814382,"Chong Gene Hang College, No. 12 Cheung Man Road, Chai Wan",11SE-D/C29,Rock cut,0.05,Open area,Two carpark spaces cordoned off,-,-,-,-
2022/12/3166,-,HyD,22/11/2022,-,833394,814894,"Lugard Road, The Peak",Natural hillside,Natural hillside,0.015,Minor footpath,-,-,-,-,-
2022/11/3165,-,BD,21/11/2022,19/11/2022,838947,816754,"North Point View Mansion, No. 54 Kai Yuen Street, North Point",11SE-A/CR97,Rock cut,0.01,Building,-,-,-,-,-
2022/11/3163,-,DLO,09/11/2022,02/11/2022,832207,813512,"North of house No. 23D, Pokfulam Tsuen, Pokfulam Road",11SW-C/R604,Masonry wall,0.15,Minor footpath,-,-,-,-,-
2022/11/3162,-,Public,05/11/2022,05/11/2022,839513,824050,"Near lamp post No. AF0668, Shatin Pass Road, Sha Tin",Natural hillside,Natural hillside,0.336,Road,-,-,-,-,-
2022/09/3159,-,DLO,15/09/2022,24/08/2022,835065,826250,"Below Feature No. 7SW-D/F314, Pak Tin Village, Tai Wai, Sha Tin",< 3 m high cut slope,Soil cut,2.5,Registered squatter dwelling,-,-,-,-,-
2022/09/1020WS,WSD/2022/09/1/NTW,WSD,13/09/2022,-,825421,826758,"Tai Lam Chung Catchwater (Section L, at Ch.2500), Tsuen Wan",6SE-C/CR618,Rock cut,3,Catchwater,-,-,-,-,-
2022/08/1018WS,WSD/2022/9/1/NTE,WSD,31/08/2022,-,852557,826721,"Catchwater of Pak Tam Road, Sai Kung Country Park",8NW-D/CR54,Soil/rock cut,3.2,Catchwater,-,-,-,-,-
2022/08/3158,-,GEO,26/08/2022,-,844168,813813,"Above Fullview Garden, Siu Sai Wan",Natural hillside,Natural hillside,14,Nil,-,-,-,-,-
2022/08/1017WS,WSD/2022/08/1/K,WSD,25/08/2022,-,836938,819840,"Ho Man Tin Service Reservoir access road, Kowloon City",11NW-D/FR4,Fill,2,Nil,-,-,-,-,-
