Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,26.987,27.133,27.234,27.364,27.446,27.5,27.558
Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,26.981,27.113,27.194,27.283,27.381,27.484,27.614
Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,26.986,27.123,27.219,27.376,27.483,27.554,27.612
Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,26.991,27.126,27.226,27.352,27.448,27.54,27.645
Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,26.986,27.119,27.217,27.339,27.409,27.448,27.451
Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,26.991,27.129,27.23,27.355,27.454,27.55,27.67
Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,26.987,27.137,27.239,27.358,27.416,27.441,27.436
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,26.975,27.125,27.241,27.367,27.44,27.493,27.546
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,26.979,27.126,27.224,27.349,27.451,27.544,27.659
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,26.975,27.122,27.216,27.38,27.478,27.539,27.6
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,26.979,27.125,27.224,27.367,27.467,27.533,27.618
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,26.975,27.126,27.263,27.368,27.399,27.409,27.422
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,26.98,27.127,27.224,27.349,27.439,27.513,27.605
Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,26.975,27.126,27.25,27.347,27.379,27.389,27.398
