year,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link,month,csv link
Year 2024,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202401_Eng.csv,,,,,,,,,,,,,,,,,-,,,,,
Year 2023,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202301_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202201_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202101_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202001_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201901_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201801_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201701_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201601_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201501_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,January,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201401_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202402_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202302_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202202_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202102_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202002_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201902_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201802_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201702_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201602_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201502_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,February,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201402_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202403_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202303_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202203_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202103_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202003_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201903_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201803_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201703_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201603_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201503_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,March,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201403_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202404_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202304_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202204_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202104_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202004_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201904_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201804_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201704_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201604_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201504_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,April,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201404_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202405_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202305_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202205_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202105_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202005_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201905_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201805_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201705_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201605_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201505_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,May,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201405_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202406_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202306_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202206_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202106_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202006_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201906_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201806_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201706_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201606_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201506_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,June,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201406_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202407_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202307_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202207_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202107_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202007_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201907_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201807_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201707_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201607_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201507_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,July,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201407_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202408_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202308_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202208_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202108_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202008_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201908_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201808_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201708_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201608_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201508_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,August,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201408_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2024,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2024/202409_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202309_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202209_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202109_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202009_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201909_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201809_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201709_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201609_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201509_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2014,September,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2014/201409_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2023,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2023/202310_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2022,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2022/202210_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2021,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2021/202110_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2020,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2020/202010_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2019,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2019/201910_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2018,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2018/201810_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2017,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2017/201710_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2016,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2016/201610_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2015,October,https://www.aqhi.gov.hk/common/epd/ddata/html/history/2015/201510_Eng.csv,,,,,,,,,,,,,,,,,,,,,,
