Dataset Name,Download Link
Daily maximum and mean Hong Kong Heat Index,https://data.gov.hk/en/download-queue
Daily maximum and mean Hong Kong Heat Index,https://data.gov.hk/en/download-queue
Daily maximum and mean Hong Kong Heat Index,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_MEANHKHI_2024.csv
Daily maximum and mean Hong Kong Heat Index,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/ALL/daily_KP_MEANHKHI_ALL.csv
Daily maximum and mean Hong Kong Heat Index,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_MAXHKHI_2024.csv
Daily maximum and mean Hong Kong Heat Index,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/ALL/daily_KP_MAXHKHI_ALL.csv
Daily maximum and mean Hong Kong Heat Index,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1666097966566_45632
Daily maximum and mean Hong Kong Heat Index,https://data.gov.hk/en/download-queue
Daily maximum and mean Hong Kong Heat Index,https://data.gov.hk/en/download-queue
Daily mean dew point temperature,https://data.gov.hk/en/download-queue
Daily mean dew point temperature,https://data.gov.hk/en/download-queue
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/2024/daily_HKA_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/2024/daily_CCH_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/2024/daily_HKO_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KSC/2024/daily_KSC_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/LFS/2024/daily_LFS_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TYW/2024/daily_TYW_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PEN/2024/daily_PEN_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SKG/2024/daily_SKG_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SHA/2024/daily_SHA_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SEK/2024/daily_SEK_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSH/2024/daily_SSH_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TKL/2024/daily_TKL_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TMS/2024/daily_TMS_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/YCT/2024/daily_YCT_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TC/2024/daily_TC_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/JKB/2024/daily_JKB_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TY1/2024/daily_TY1_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TWN/2024/daily_TWN_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TW/2024/daily_TW_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TU1/2024/daily_TU1_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WGL/2024/daily_WGL_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WLP/2024/daily_WLP_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKS/2024/daily_HKS_DEW_2024.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/ALL/daily_HKA_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/CCH/ALL/daily_CCH_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/ALL/daily_HKO_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KSC/ALL/daily_KSC_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/ALL/daily_KP_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/LFS/ALL/daily_LFS_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TYW/ALL/daily_TYW_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/PEN/ALL/daily_PEN_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SKG/ALL/daily_SKG_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SHA/ALL/daily_SHA_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SEK/ALL/daily_SEK_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/SSH/ALL/daily_SSH_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TKL/ALL/daily_TKL_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TMS/ALL/daily_TMS_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/YCT/ALL/daily_YCT_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TC/ALL/daily_TC_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/JKB/ALL/daily_JKB_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TY1/ALL/daily_TY1_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TWN/ALL/daily_TWN_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TW/ALL/daily_TW_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/TU1/ALL/daily_TU1_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WGL/ALL/daily_WGL_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/WLP/ALL/daily_WLP_DEW_ALL.csv
Daily mean dew point temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKS/ALL/daily_HKS_DEW_ALL.csv
Daily mean dew point temperature,https://portal.csdi.gov.hk/geoportal/?datasetId=hko_rcd_1634960124704_66104
Daily mean dew point temperature,https://data.gov.hk/en/download-queue
Daily mean dew point temperature,https://data.gov.hk/en/download-queue
Daily mean wet bulb temperature,https://data.gov.hk/en/download-queue
Daily mean wet bulb temperature,https://data.gov.hk/en/download-queue
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKA/2024/daily_HKA_WET_2024.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/HKO/2024/daily_HKO_WET_2024.csv
Daily mean wet bulb temperature,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2024/daily_KP_WET_2024.csv
