date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Station
2020-01-01,18.7,17.9,20.3,,,98,18.2,,1026.3,,hk intl airport
2020-01-02,18.7,17.5,21.0,,,67,12.7,,1025.2,,hk intl airport
2020-01-03,19.9,17.0,24.0,,,61,12.2,,1023.0,,hk intl airport
2020-01-04,20.0,17.0,23.0,,,81,11.8,,1020.9,,hk intl airport
2020-01-05,21.3,19.0,24.0,,,94,20.9,,1020.3,,hk intl airport
2020-01-06,22.3,20.5,25.0,,,97,24.9,,1019.2,,hk intl airport
2020-01-07,23.2,21.0,26.0,,,29,9.7,,1017.3,,hk intl airport
2020-01-08,22.9,20.8,27.0,,,71,15.7,,1018.7,,hk intl airport
2020-01-09,20.2,19.0,22.0,,,88,26.7,,1018.0,,hk intl airport
2020-01-10,21.4,19.8,24.6,,,86,16.3,,1016.1,,hk intl airport
2020-01-11,20.7,18.0,24.0,,,2,15.0,,1015.5,,hk intl airport
2020-01-12,17.3,15.0,19.0,,,337,17.1,,1017.6,,hk intl airport
2020-01-13,18.8,17.0,21.0,,,53,13.4,,1017.6,,hk intl airport
2020-01-14,20.0,17.5,23.0,,,91,19.0,,1018.6,,hk intl airport
2020-01-15,20.5,18.0,23.7,,,91,27.5,,1017.8,,hk intl airport
2020-01-16,21.0,18.9,24.0,,,77,20.6,,1017.2,,hk intl airport
2020-01-17,17.6,15.8,19.0,,,334,20.4,,1020.2,,hk intl airport
2020-01-18,18.3,16.0,20.4,,,38,12.2,,1019.6,,hk intl airport
2020-01-19,17.4,16.0,19.0,,,5,16.2,,1021.2,,hk intl airport
2020-01-20,17.5,15.0,19.3,,,9,10.9,,1022.1,,hk intl airport
2020-01-21,19.4,17.0,22.0,,,87,20.9,,1022.0,,hk intl airport
2020-01-22,21.0,18.9,25.0,,,48,13.1,,1019.0,,hk intl airport
2020-01-23,22.7,20.7,26.0,,,68,12.2,,1017.0,,hk intl airport
2020-01-24,22.8,21.0,26.0,,,84,16.9,,1017.7,,hk intl airport
2020-01-25,20.9,18.0,24.0,,,87,18.7,,1016.1,,hk intl airport
2020-01-26,15.4,13.4,18.0,,,359,23.4,,1015.9,,hk intl airport
2020-01-27,12.5,11.0,14.0,,,2,20.3,,1017.2,,hk intl airport
2020-01-28,12.5,10.0,15.2,,,13,16.3,,1019.1,,hk intl airport
2020-01-29,13.5,10.7,16.6,,,18,15.8,,1021.2,,hk intl airport
2020-01-30,14.8,11.7,19.0,,,21,17.4,,1021.9,,hk intl airport
2020-01-31,15.1,11.0,19.0,,,62,14.5,,1022.4,,hk intl airport
2020-02-01,16.7,14.0,19.4,,,92,20.9,,1022.2,,hk intl airport
2020-02-02,18.1,16.6,20.0,,,84,24.4,,1021.7,,hk intl airport
2020-02-03,19.1,17.0,22.0,,,85,19.4,,1020.1,,hk intl airport
2020-02-04,17.2,15.0,18.4,,,33,13.6,,1020.3,,hk intl airport
2020-02-05,18.1,17.0,19.7,,,74,18.5,,1020.5,,hk intl airport
2020-02-06,18.1,16.0,20.0,,,85,27.5,,1019.2,,hk intl airport
2020-02-07,19.2,18.0,20.4,,,42,14.3,,1021.0,,hk intl airport
2020-02-08,17.4,16.0,19.0,,,31,15.0,,1024.0,,hk intl airport
2020-02-09,16.3,15.0,17.6,,,30,11.8,,1025.8,,hk intl airport
2020-02-10,16.7,15.9,18.0,,,35,12.5,,1023.3,,hk intl airport
2020-02-11,18.2,16.9,20.0,,,73,16.5,,1020.3,,hk intl airport
2020-02-12,20.0,18.0,23.0,,,25,10.8,,1017.9,,hk intl airport
2020-02-13,20.0,18.7,21.9,,,59,12.7,,1015.3,,hk intl airport
2020-02-14,22.1,20.8,26.0,,,100,21.9,,1013.3,,hk intl airport
2020-02-15,22.9,20.0,25.0,,,116,20.4,,1013.1,,hk intl airport
2020-02-16,13.4,11.0,18.0,,,348,29.2,,1021.1,,hk intl airport
2020-02-17,13.3,10.0,16.7,,,9,17.8,,1026.8,,hk intl airport
2020-02-18,14.6,11.0,18.0,,,44,15.2,,1026.4,,hk intl airport
2020-02-19,17.6,15.0,21.0,,,82,16.1,,1024.3,,hk intl airport
2020-02-20,18.3,15.0,22.0,,,80,16.2,,1024.6,,hk intl airport
2020-02-21,19.9,16.9,24.0,,,98,16.5,,1026.5,,hk intl airport
2020-02-22,20.2,16.0,24.0,,,40,11.8,,1025.7,,hk intl airport
2020-02-23,20.5,17.7,25.2,,,88,24.0,,1024.2,,hk intl airport
2020-02-24,20.8,18.0,25.0,,,91,26.3,,1020.3,,hk intl airport
2020-02-25,22.2,20.0,25.1,,,19,10.7,,1017.8,,hk intl airport
2020-02-26,23.3,20.2,27.0,,,33,9.9,,1017.9,,hk intl airport
2020-02-27,21.6,20.0,24.0,,,98,24.4,,1019.0,,hk intl airport
2020-02-28,21.3,18.7,24.0,,,77,18.6,,1017.9,,hk intl airport
2020-02-29,22.7,20.0,26.0,,,6,8.6,,1014.7,,hk intl airport
2020-03-01,23.0,20.0,27.0,,,306,8.5,,1014.3,,hk intl airport
2020-03-02,21.0,19.6,23.0,,,91,22.9,,1017.1,,hk intl airport
2020-03-03,20.4,19.0,22.4,,,83,25.6,,1017.9,,hk intl airport
2020-03-04,20.2,18.0,22.0,,,42,14.6,,1018.0,,hk intl airport
2020-03-05,18.4,15.8,20.5,,,58,14.2,,1019.3,,hk intl airport
2020-03-06,19.1,17.8,21.0,,,83,24.8,,1017.1,,hk intl airport
2020-03-07,22.5,19.8,26.0,,,98,18.2,,1013.5,,hk intl airport
2020-03-08,23.5,21.6,25.0,,,105,19.8,,1010.1,,hk intl airport
2020-03-09,24.8,23.5,26.0,,,144,19.5,,1008.1,,hk intl airport
2020-03-10,23.0,20.5,26.0,,,339,20.5,,1013.4,,hk intl airport
2020-03-11,19.5,18.4,21.0,,,69,25.1,,1017.3,,hk intl airport
2020-03-12,21.6,19.0,26.0,,,85,27.1,,1014.6,,hk intl airport
2020-03-13,24.2,21.0,28.0,,,76,15.3,,1014.9,,hk intl airport
2020-03-14,21.6,19.3,24.2,,,20,17.2,,1017.7,,hk intl airport
2020-03-15,20.8,19.0,23.0,,,68,15.5,,1019.2,,hk intl airport
2020-03-16,21.0,19.0,24.0,,,89,22.8,,1019.3,,hk intl airport
2020-03-17,20.8,19.9,22.0,,,78,22.5,,1018.4,,hk intl airport
2020-03-18,21.2,20.2,22.3,,,77,15.2,,1015.5,,hk intl airport
2020-03-19,21.4,19.8,23.0,,,63,13.3,,1014.4,,hk intl airport
2020-03-20,21.7,20.0,24.0,,,72,15.2,,1014.9,,hk intl airport
2020-03-21,23.1,21.0,25.8,,,89,19.3,,1014.9,,hk intl airport
2020-03-22,24.7,22.0,29.0,,,42,11.2,,1013.8,,hk intl airport
2020-03-23,25.0,21.5,30.0,,,86,14.0,,1013.9,,hk intl airport
2020-03-24,23.8,21.9,27.0,,,89,21.3,,1014.8,,hk intl airport
2020-03-25,23.8,22.0,27.0,,,90,20.0,,1013.7,,hk intl airport
2020-03-26,24.2,22.7,27.0,,,91,15.2,,1013.1,,hk intl airport
2020-03-27,25.1,23.0,28.0,,,101,16.6,,1012.6,,hk intl airport
2020-03-28,22.8,20.2,25.6,,,40,10.6,,1013.5,,hk intl airport
2020-03-29,21.8,20.0,24.0,,,90,33.5,,1012.6,,hk intl airport
2020-03-30,20.1,19.0,22.0,,,7,17.0,,1012.0,,hk intl airport
2020-03-31,19.3,18.0,20.8,,,321,13.0,,1013.2,,hk intl airport
2020-04-01,19.3,18.0,20.3,,,24,12.5,,1015.1,,hk intl airport
2020-04-02,21.0,20.0,23.0,,,84,30.3,,1016.4,,hk intl airport
2020-04-03,21.1,19.6,23.0,,,75,26.5,,1016.7,,hk intl airport
2020-04-04,20.9,19.8,23.0,,,40,13.7,,1017.8,,hk intl airport
2020-04-05,18.3,16.9,20.0,,,67,16.5,,1018.9,,hk intl airport
2020-04-06,17.4,17.0,18.0,,,56,14.8,,1016.9,,hk intl airport
2020-04-07,19.2,17.6,21.0,,,15,10.1,,1015.6,,hk intl airport
2020-04-08,21.6,20.0,24.0,,,72,12.9,,1016.2,,hk intl airport
2020-04-09,22.5,20.0,26.0,,,69,13.8,,1017.3,,hk intl airport
2020-04-10,22.6,20.6,25.6,,,85,22.9,,1017.7,,hk intl airport
2020-04-11,23.2,21.7,25.4,,,41,13.5,,1014.7,,hk intl airport
2020-04-12,21.0,18.0,24.2,,,11,22.2,,1017.7,,hk intl airport
2020-04-13,20.0,17.0,23.0,,,50,16.3,,1019.3,,hk intl airport
2020-04-14,21.1,19.0,23.0,,,37,8.7,,1017.4,,hk intl airport
2020-04-15,22.1,18.0,26.0,,,178,9.0,,1015.5,,hk intl airport
2020-04-16,23.0,19.0,27.0,,,122,11.5,,1014.4,,hk intl airport
2020-04-17,24.8,22.0,28.0,,,88,13.7,,1014.7,,hk intl airport
2020-04-18,24.9,22.0,27.0,,,56,10.5,,1013.8,,hk intl airport
2020-04-19,26.4,23.7,30.0,,,32,10.3,,1012.5,,hk intl airport
2020-04-20,26.7,24.0,31.0,,,192,12.8,,1012.4,,hk intl airport
2020-04-21,27.2,25.0,30.0,,,142,17.0,,1012.0,,hk intl airport
2020-04-22,23.3,20.0,26.0,,,84,25.0,,1014.3,,hk intl airport
2020-04-23,20.9,19.7,22.4,,,74,14.6,,1017.0,,hk intl airport
2020-04-24,18.9,17.9,20.0,,,31,11.0,,1019.2,,hk intl airport
2020-04-25,20.1,18.0,22.0,,,321,7.8,,1018.2,,hk intl airport
2020-04-26,23.6,20.1,27.0,,,293,7.5,,1017.1,,hk intl airport
2020-04-27,24.8,21.8,28.0,,,64,10.1,,1017.0,,hk intl airport
2020-04-28,25.6,22.9,29.0,,,86,19.1,,1017.2,,hk intl airport
2020-04-29,24.5,21.7,29.0,,,74,15.1,,1016.8,,hk intl airport
2020-04-30,25.1,22.0,29.0,,,94,10.6,,1015.2,,hk intl airport
2020-05-01,26.0,23.8,29.0,,,29,9.4,,1012.5,,hk intl airport
2020-05-02,26.8,24.0,30.3,,,165,11.0,,1010.2,,hk intl airport
2020-05-03,28.2,25.5,32.0,,,228,14.6,,1009.5,,hk intl airport
2020-05-04,28.6,26.0,32.1,,,221,17.4,,1009.6,,hk intl airport
2020-05-05,28.8,27.0,31.5,,,216,22.2,,1008.7,,hk intl airport
2020-05-06,29.4,27.3,32.0,,,203,16.3,,1008.5,,hk intl airport
2020-05-07,29.6,28.0,32.0,,,186,17.1,,1008.5,,hk intl airport
2020-05-08,30.0,28.7,32.8,,,192,18.5,,1008.3,,hk intl airport
2020-05-09,29.9,28.0,33.1,,,199,17.1,,1009.0,,hk intl airport
2020-05-10,29.4,26.0,33.0,,,236,15.9,,1009.8,,hk intl airport
2020-05-11,29.1,24.1,32.5,,,236,11.5,,1010.4,,hk intl airport
2020-05-12,27.5,25.0,30.0,,,295,8.6,,1010.9,,hk intl airport
2020-05-13,27.6,26.0,31.0,,,87,21.4,,1011.7,,hk intl airport
2020-05-14,28.2,25.9,31.0,,,107,26.0,,1010.8,,hk intl airport
2020-05-15,29.0,27.0,31.0,,,134,17.1,,1008.0,,hk intl airport
