date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Station
1/1/2020,18.7,17.9,20.3,,98,18.2,1026.3,hk intl airport
2/1/2020,18.7,17.5,21,,67,12.7,1025.2,hk intl airport
3/1/2020,19.9,17,24,,61,12.2,1023,hk intl airport
4/1/2020,20,17,23,,81,11.8,1020.9,hk intl airport
5/1/2020,21.3,19,24,,94,20.9,1020.3,hk intl airport
6/1/2020,22.3,20.5,25,,97,24.9,1019.2,hk intl airport
7/1/2020,23.2,21,26,,29,9.7,1017.3,hk intl airport
8/1/2020,22.9,20.8,27,,71,15.7,1018.7,hk intl airport
9/1/2020,20.2,19,22,,88,26.7,1018,hk intl airport
10/1/2020,21.4,19.8,24.6,,86,16.3,1016.1,hk intl airport
11/1/2020,20.7,18,24,,2,15,1015.5,hk intl airport
12/1/2020,17.3,15,19,,337,17.1,1017.6,hk intl airport
13/1/2020,18.8,17,21,,53,13.4,1017.6,hk intl airport
14/1/2020,20,17.5,23,,91,19,1018.6,hk intl airport
15/1/2020,20.5,18,23.7,,91,27.5,1017.8,hk intl airport
16/1/2020,21,18.9,24,,77,20.6,1017.2,hk intl airport
17/1/2020,17.6,15.8,19,,334,20.4,1020.2,hk intl airport
18/1/2020,18.3,16,20.4,,38,12.2,1019.6,hk intl airport
19/1/2020,17.4,16,19,,5,16.2,1021.2,hk intl airport
20/1/2020,17.5,15,19.3,,9,10.9,1022.1,hk intl airport
21/1/2020,19.4,17,22,,87,20.9,1022,hk intl airport
22/1/2020,21,18.9,25,,48,13.1,1019,hk intl airport
23/1/2020,22.7,20.7,26,,68,12.2,1017,hk intl airport
24/1/2020,22.8,21,26,,84,16.9,1017.7,hk intl airport
25/1/2020,20.9,18,24,,87,18.7,1016.1,hk intl airport
26/1/2020,15.4,13.4,18,,359,23.4,1015.9,hk intl airport
27/1/2020,12.5,11,14,,2,20.3,1017.2,hk intl airport
28/1/2020,12.5,10,15.2,,13,16.3,1019.1,hk intl airport
29/1/2020,13.5,10.7,16.6,,18,15.8,1021.2,hk intl airport
30/1/2020,14.8,11.7,19,,21,17.4,1021.9,hk intl airport
31/1/2020,15.1,11,19,,62,14.5,1022.4,hk intl airport
1/2/2020,16.7,14,19.4,,92,20.9,1022.2,hk intl airport
