titles 2,tdClass,tdClass href,tdClass 2,tdClass href 2,tdClass 3,tdClass href 3,tdClass 4,tdClass href 4,tdClass 5,tdClass href 5,tdClass 6,tdClass href 6,tdClass 7,tdClass href 7,tdClass 8,tdClass href 8,tdClass 9,tdClass href 9,tdClass 10,tdClass href 10,tdClass 11,tdClass href 11,tdClass 12,tdClass href 12
Year 2013,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,January,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr012000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,February,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr022000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,March,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr032000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,April,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr042000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,May,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr052000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,June,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr062000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr072000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 1999,July,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr071999.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr082000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 1999,August,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr081999.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,September,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr092007.csv,,,,,,,,,,,,,,,,,,,,,,
