Typhoon,Station1,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,href,Station2,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station3,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station4,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station5,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station6,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time
Typhoon Ida ( Aug 1954 ),North Point,3.18,29/8/1954 10:30,1.68,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Nancy ( Oct 1954 ),North Point,2.77,---,0.61,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Pamela ( Nov 1954 ),North Point,2.83,---,1.16,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Ruby ( Nov 1954 ),North Point,3.11,---,0.67,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm No name ( Jun 1955 ),North Point,2.62,---,0.61,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Kate ( Sep 1955 ),North Point,2.74,---,0.7,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm Vera ( Jul 1956 ),North Point,2.77,---,0.46,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Charlotte ( Aug 1956 ),North Point,2.44,---,0.73,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Jean ( Oct 1956 ),North Point,2.83,---,0.64,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Depression No name ( Jul 1957 ),North Point,2.32,---,0.49,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Wendy ( Jul 1957 ),North Point,2.22,---,0.76,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon  ( Sep 1957 )Gloria,North Point,3.08,22/9/1957 8:30,1.34,---,https://www.hko.gov.hk/en/informtc/no10/gloria.htm,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm No name ( Oct 1957 ),North Point,2.41,---,0.46,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm No name ( May 1958 ),North Point,2.44,---,0.67,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm No name ( Aug 1958 ),North Point,2.01,---,0.49,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Depression No name ( Aug 1958 ),North Point,2.29,---,0.34,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm Wilda ( Jul 1959 ),North Point,2.22,---,0.37,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm Nora ( Sep 1959 ),North Point,2.22,---,0.24,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon  ( Jun 1960 )Mary,North Point,2.77,---,1.1,---,https://www.hko.gov.hk/en/informtc/no10/mary.htm,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Olive ( Jun 1960 ),North Point,2.44,---,0.6,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Kit ( Oct 1960 ),North Point,2.71,---,0.7,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon  ( May 1961 )Alice,North Point,2.59,---,0.55,---,https://www.hko.gov.hk/en/informtc/no10/alice.htm,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Elsie ( Jul 1961 ),North Point,2.29,---,0.3,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe Tropical Storm Olga ( Sep 1961 ),North Point,2.53,---,0.58,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe Tropical Storm Sally ( Sep 1961 ),North Point,2.35,---,0.43,---,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon  ( Sep 1962 )Wanda,Tai Po Kau,5.03,---,3.2,---,https://www.hko.gov.hk/en/informtc/no10/wanda/wanda.htm,North Point,3.96,---,1.77,---,,,,,,,,,,,,,,,,,,,,
Typhoon Agnes ( Jul 1963 ),Tai Po Kau,2.83,---,0.67,---,,North Point,2.83,22/7/1963 8:49,0.55,---,Chi Ma Wan,2.93,---,0.58,---,,,,,,,,,,,,,,,
Typhoon Carmen ( Aug 1963 ),Tai Po Kau,2.65,---,0.58,---,,North Point,2.44,---,0.21,---,Chi Ma Wan,2.47,---,0.3,---,,,,,,,,,,,,,,,
Typhoon Faye ( Sep 1963 ),Tai Po Kau,2.77,---,0.98,---,,North Point,2.83,---,0.85,---,Chi Ma Wan,2.77,---,0.76,---,,,,,,,,,,,,,,,
Typhoon Viola ( May 1964 ),Tai Po Kau,3.2,---,1.4,---,,North Point,2.9,---,0.94,---,,,,,,,,,,,,,,,,,,,,
Typhoon Winnie ( Jul 1964 ),Tai Po Kau,2.59,---,0.85,---,,North Point,2.38,---,0.61,---,Chi Ma Wan,2.59,---,0.73,---,,,,,,,,,,,,,,,
Typhoon Ida ( Aug 1964 ),Tai Po Kau,3.63,---,2.16,---,,North Point,2.86,---,1.31,---,Chi Ma Wan,2.96,---,1.43,---,,,,,,,,,,,,,,,
Typhoon  ( Sep 1964 )Ruby,Tai Po Kau,3.54,---,2.96,---,https://www.hko.gov.hk/en/informtc/no10/ruby.htm,North Point,3.14,---,1.49,---,Chi Ma Wan,3.2,---,2.32,---,,,,,,,,,,,,,,,
Typhoon Sally ( Sep 1964 ),Tai Po Kau,3.02,---,1.04,---,,North Point,2.41,---,0.55,---,Chi Ma Wan,2.44,---,0.49,---,,,,,,,,,,,,,,,
Tropical Storm Billie ( Sep 1964 ),Tai Po Kau,2.69,---,0.84,---,,North Point,2.54,---,0.73,---,Chi Ma Wan,2.67,---,0.8,---,,,,,,,,,,,,,,,
Typhoon  ( Oct 1964 )Dot,Tai Po Kau,3.23,---,1.43,---,https://www.hko.gov.hk/en/informtc/no10/dot.htm,North Point,2.65,---,0.58,---,Chi Ma Wan,2.95,---,0.82,---,,,,,,,,,,,,,,,
