station_id,station_name,latitude,longitude
1005,Hon Wah College,22.264817,114.249942
1006,Ho Koon Education Center,22.38384169,114.1079789
1009,Baptist Wing Lung Secondary School,22.39879101,113.971028
1010,San Wui Commercial Society Secondary School,22.4082,113.96319
1011,Pui Ching Middle School (Hong Kong),22.31746,114.17755
1012,Ho Dao College (Sponsored by Sik Sik Yuen),22.43391857,113.9996687
1013,Tak Sun Secondary School,22.41019536,114.2219192
1016,T.W.G.Hs Chen Zao Men COLLEGE,22.36433919,114.1289216
1017,Queen's College Old Boy's Association Secondary School,22.36134524,114.0994924
3000,Personal Weather Station at Sha Pa Village (Courtesy of Mr. Daniel Van Hoy),22.449627,114.135849
3001,Personal Weather Station at Lei Cheng Uk (Courtesy of Oscar),22.337324,114.164241
3002,Personal Weather Station at Tai O (Courtesy of Mr. Jacek Piwowarczyk),22.24686241,113.872879
3003,Personal Weather Station at Mui Wo (Courtesy of Mr. Jacek Piwowarczyk),22.264019,114.001671
6001,The Hong Kong Polytechnic University (PolyU) ,22.3046,114.1796
6002,Hong Kong Sea School,22.21835718,114.214232
6003,Po Leung Kuk Wu Chung College,22.41633979,114.2271951
6004,Ho Dao College (Sponsored by Sik Sik Yuen),22.43391857,113.9996687
6005,Pui Ying Secondary School,22.25320499,114.1353241
6006,Fanling Public School,22.49675999,114.1375852
6007,Elegantia College,22.4929288,114.1242787
6008,Sha Tau Kok Central Primary School,22.54661,114.22338
6009,Sing Yin Secondary School,22.30888241,114.2380527
6010,Kowloon Bay St. John The Baptist Catholic Primary School,22.32805028,114.2118126
6011,FDBWA Szeto Ho Secondary School,22.306413,114.235116
6012,Tak Oi Secondary School,22.3472949,114.2046189
6013,Hong Kong Institute of Vocational Education (Chai Wan),22.27210995,114.23989
6014,Cheung Chau Sacred Heart School,22.2098177,114.0301225
6015,T.W.G.Hs Chen Zao Men COLLEGE,22.36433919,114.1289216
6016,German Swiss International School,22.26543542,114.1604429
6017,Hong Kong Taoist Association Tang Hin Memorial Secondary School,22.49933719,114.1291818
6018,China Holiness Church Living Spirit College,22.45684946,114.173854
6019,SKH Kei Fook Primary School,22.33644,114.154653
6020,KCBC Hay Nien (Yan Ping) Primary School,22.36886844,114.1821072
6021,Hong Kong Taoist Association Ching Chung Secondary School,22.31412064,114.2326909
6022,Lok Sin Tong Ku Chiu Man Secondary School,22.36069286,114.1238227
6023,St Paul's College,22.28445786,114.1386983
6024,Caritas Wu Cheng-Chung Secondary School,22.26759742,114.1293293
6025,HKSKH Lady MacLehose Centre,22.36525448,114.136523
6026,Shak Chung Shan Memorial Catholic Primary School,22.36363474,114.1134533
6027,Baptist Wing Lung Secondary School,22.39879101,113.971028
6028,Ho Koon Education Center,22.38384169,114.1079789
6029,Lingnan Hang Yee Memorial Secondary School,22.26343722,114.2511955
6030,MKMCF Ma Chan Duen Hey Memorial College,22.31996411,114.2572922
6031,CUHK FAA Thomas Cheung School,22.36098805,114.1725639
6032,Ju Ching Chu Secondary School (Tuen Mun),22.38895807,113.9659506
6033,S.T.F.A. Ho Yat Tung Primary School (A.M.),22.38958,113.97395
6034,Fung Kai Liu Man Shek Tong Secondary School,22.5082108,114.1270629
6035,T.W.G.Hs Sun Hoi Directors' College,22.37518582,113.9654437
6036,Tung Wah Group of Hospitals Mrs Wu York Yu Memorial College,22.37101147,114.1405061
6037,HKBU Affiliated School Wong Kam Fai Secondary and Primary School,22.38349,114.21061
6038,Shatin Pui Ying College,22.389409,114.194479
6039,United Christian College (Kowloon East),22.32961,114.17059
6040,South Island School,22.25387,114.18316
6041,POH Chan Kai Memorial College,22.36595,114.17822
6042,HKFYG Lee Shau Kee College,22.46292,114.00462
6043,CUHKFAA Chan Chun Ha Secondary School,22.4232,114.22769
6044,Queen's College,22.28036,114.19191
6045,Jockey Club HSBC WWF Hong Kong Hoi Ha Marine Life Centre,22.46327,114.33345
6046,Sai Kung Sung Tsun Catholic School (Secondary Section),22.38317,114.26966
6047,Pooi To Middle School,22.32925,114.18545
6048,Maryknoll Secondary School,22.3252,114.21672
6049,Lee Kau Yan Memorial School,22.33193,114.19466
6050,Hon Wah College,22.264817,114.249942
6051,The Chinese Foundation Secondary School,22.26431,114.24947
6053,Po Leung Kuk Lee Shing Pik College,22.37663,114.11018
6054,PLK Ngan Po Ling College,22.31271,114.18988
6055,Ma On Shan Ling Liang Primary School,22.42473,114.2408
6056,Henrietta Secondary School,22.29171,114.19449
6057,Fukien Secondary School,22.264812,114.250714
6058,Creative Secondary School,22.30758,114.26768
6059,CUHK FAA Thomas Cheung Secondary School,22.45755,113.99789
6060,Queen Elizabeth School Old Students' Association Tong Kwok Wah Secondary School,22.46263,114.00654
6061,Scout Association of Hong Kong (Pak Sha Wan T.W.C. Sea Activity Centre),22.366224,114.260306
6062,Scout Association of Hong Kong (Tung Tsz Scout Centre),22.47311,114.19801
