station,mean,std,kurtosis,skewness,ks_stat,ks_pval,jb_stat,jb_pval
1005,21.39,10.91,22.86,-3.00,0.10,0.00,197247.88,0.00
1009,20.87,2.18,1.50,-0.35,0.25,0.98,0.34,0.84
1010,22.92,6.15,2.35,-0.48,0.09,0.00,904.34,0.00
1011,23.62,1.03,4.01,0.60,0.05,0.39,33.52,0.00
1012,22.23,5.88,2.47,-0.54,0.09,0.00,704.30,0.00
1013,23.46,6.26,2.14,-0.26,0.07,0.00,676.61,0.00
1016,19.44,5.72,2.09,0.16,0.10,0.00,100.85,0.00
1017,23.33,6.01,2.16,-0.47,0.10,0.00,530.06,0.00
3000,26.23,6.51,2.84,-0.90,0.17,0.00,5324.88,0.00
3001,26.40,5.67,2.12,-0.61,0.13,0.00,1106.56,0.00
3002,22.33,5.31,2.13,-0.18,0.08,0.00,110.67,0.00
3003,24.03,5.43,2.36,-0.52,0.11,0.00,794.46,0.00
6001,23.38,5.39,7.04,-1.24,0.09,0.00,47589.73,0.00
6002,21.20,7.18,4.83,-1.19,0.17,0.00,21625.71,0.00
6003,23.62,6.44,4.21,-0.95,0.09,0.00,12867.39,0.00
6004,17.45,7.43,2.82,-0.73,0.13,0.00,1294.82,0.00
6005,25.53,2.77,7.61,-1.06,0.11,0.00,56170.93,0.00
6006,95.49,364.96,20.76,4.44,0.53,0.00,92166.06,0.00
6007,24.07,5.76,5.19,-1.11,0.07,0.00,16143.00,0.00
6008,21.54,8.70,3.87,-1.29,0.15,0.00,3991.67,0.00
6009,23.85,6.45,7.38,-1.98,0.16,0.00,66163.55,0.00
6010,21.58,8.91,4.44,-1.57,0.22,0.00,2921.43,0.00
6011,19.04,8.55,2.19,-0.71,0.16,0.00,1933.62,0.00
6012,23.21,5.30,9.91,-2.28,0.16,0.00,39842.52,0.00
6013,21.40,9.27,3.34,-1.05,0.22,0.00,3557.31,0.00
6014,13.91,11.25,1.50,0.11,0.11,0.00,447.39,0.00
6015,22.85,8.86,4.23,-1.42,0.15,0.00,4555.04,0.00
6016,24.40,5.59,6.48,-1.42,0.12,0.00,37772.63,0.00
6017,23.44,5.95,4.36,-0.90,0.07,0.00,12840.61,0.00
6018,23.44,6.01,4.18,-0.92,0.09,0.00,10246.44,0.00
6019,26.47,5.81,9.15,-2.37,0.28,0.00,151055.76,0.00
6020,23.31,7.36,5.04,-1.07,0.13,0.00,7524.61,0.00
6021,22.63,5.86,4.88,-0.92,0.05,0.00,13972.51,0.00
6022,11.90,11.62,1.21,0.07,0.32,0.00,1316.70,0.00
6023,21.75,9.46,3.74,-1.36,0.19,0.00,1955.81,0.00
6025,23.08,8.50,4.83,-1.60,0.17,0.00,6274.96,0.00
6026,24.49,5.31,2.52,-0.48,0.08,0.00,2802.97,0.00
6027,23.81,7.42,6.14,-1.83,0.18,0.00,16122.31,0.00
6028,23.96,6.27,4.74,-1.18,0.12,0.00,21456.58,0.00
6029,24.14,5.98,4.06,-0.80,0.08,0.00,9065.24,0.00
6030,1.44,5.66,14.92,3.71,0.54,0.00,67410.25,0.00
6031,21.41,6.26,5.08,-1.13,0.07,0.00,15844.59,0.00
6032,20.78,9.74,2.13,-0.80,0.22,0.00,580.69,0.00
6033,25.74,6.63,6.27,-1.60,0.14,0.00,26385.87,0.00
6034,22.19,7.14,5.99,-1.65,0.15,0.00,11809.19,0.00
6035,21.81,7.78,5.24,-1.66,0.23,0.00,4311.69,0.00
6036,24.38,7.10,4.94,-1.38,0.12,0.00,28854.72,0.00
6037,22.02,4.56,5.72,-0.65,0.11,0.00,15016.24,0.00
6039,14.07,10.75,1.40,-0.37,0.24,0.00,363.07,0.00
6040,12.28,9.11,1.52,-0.15,0.13,0.00,223.14,0.00
6041,19.42,7.05,3.47,-0.65,0.10,0.00,1917.05,0.00
6042,23.17,6.86,4.94,-1.17,0.07,0.00,8034.18,0.00
6043,20.27,8.88,3.61,-1.17,0.14,0.00,1665.07,0.00
6044,23.02,5.34,6.47,-1.19,0.06,0.00,1002.59,0.00
6045,22.36,6.77,4.71,-1.15,0.09,0.00,7198.43,0.00
6046,12.98,10.93,1.33,-0.18,0.27,0.00,181.54,0.00
6047,23.51,5.81,3.93,-0.86,0.10,0.00,9006.17,0.00
6048,8.19,10.84,1.35,0.58,0.41,0.00,529.59,0.00
6049,25.94,6.82,10.44,-2.76,0.33,0.00,45047.57,0.00
6050,23.63,4.95,3.20,-0.43,0.06,0.00,470.00,0.00
6051,23.40,6.60,4.55,-1.01,0.08,0.00,9666.97,0.00
6053,22.87,6.61,4.83,-1.23,0.09,0.00,13429.70,0.00
6054,16.00,4.53,2.17,-0.08,0.07,0.00,58.91,0.00
6055,23.08,6.26,5.64,-1.28,0.06,0.00,12205.52,0.00
6056,19.11,11.55,2.06,-0.79,0.20,0.00,435.72,0.00
6058,23.01,6.89,5.03,-1.34,0.10,0.00,9494.51,0.00
6059,23.47,4.89,8.48,-1.36,0.06,0.00,17216.40,0.00
6060,23.02,6.89,6.35,-1.87,0.19,0.00,12715.16,0.00
6061,23.31,5.71,2.77,-0.49,0.09,0.00,2400.58,0.00
6062,23.51,5.97,3.21,-0.61,0.08,0.00,3591.85,0.00
6063,22.77,5.12,4.67,-0.50,0.07,0.00,1951.94,0.00
6064,23.07,5.08,5.19,-0.88,0.13,0.00,14118.88,0.00
6065,22.27,7.34,4.97,-1.55,0.16,0.00,3039.83,0.00
6066,22.15,5.44,3.50,-0.50,0.06,0.00,2341.00,0.00
6067,22.92,6.01,3.91,-0.94,0.10,0.00,5473.30,0.00
6068,22.75,5.62,3.50,-0.62,0.07,0.00,2947.84,0.00
6069,22.49,5.58,3.85,-0.80,0.21,0.00,3790.81,0.00
6070,20.77,8.34,3.43,-0.99,0.10,0.00,1007.89,0.00
6071,24.38,5.78,6.09,-1.50,0.15,0.00,11377.31,0.00
6072,24.61,3.81,7.17,-1.05,0.08,0.00,14599.11,0.00
6073,24.80,2.63,2.07,0.06,0.06,0.09,14.41,0.00
6074,16.40,21.54,7.91,-2.41,0.30,0.00,98890.83,0.00
6075,22.38,5.74,1.93,-0.04,0.13,0.00,194.35,0.00
6076,23.06,5.41,3.14,-0.81,0.09,0.00,2709.10,0.00
6077,24.71,5.42,2.61,-0.70,0.10,0.00,1172.02,0.00
6078,24.12,5.55,2.29,-0.50,0.10,0.00,1343.51,0.00
6079,24.23,5.13,2.48,-0.52,0.09,0.00,1408.92,0.00
6080,28.70,2.43,11.57,-2.69,0.29,0.00,164705.68,0.00
6081,23.47,5.45,2.34,-0.23,0.06,0.00,125.52,0.00
6082,20.79,4.28,2.77,0.57,0.26,0.00,1132.65,0.00
6083,24.53,5.24,2.90,-0.80,0.13,0.00,3580.06,0.00
6084,24.26,5.26,2.90,-0.73,0.11,0.00,1608.63,0.00
6085,20.92,6.22,1.87,-0.06,0.16,0.00,845.31,0.00
6086,32.20,0.70,1.50,0.00,0.17,1.00,0.28,0.87
6087,24.98,5.52,2.49,-0.36,0.07,0.00,1362.84,0.00
6088,24.20,5.05,2.54,-0.59,0.10,0.00,1535.96,0.00
