"","Sheung.Wan","Central","Wan.Chai...Causeway.Bay","North.Point...Quarry.Bay","Tsim.Sha.Tsui","Yau.Ma.Tei...Mong.Kok"
"Min.",183,245,171,142,191,180
"1st Qu.",461.5,681.25,437.5,290.5,347,368.25
"Median",707,991.5,627.5,441.5,482,528
"Mean",686.210526315789,890.312030075188,575.421052631579,402.041353383459,441.484962406015,536.548872180451
"3rd Qu.",878.5,1093.75,724,513,539,688
"Max.",1590,1445,937,689,644,1431
"Skewness",0.030377487116049,-0.534317363969349,-0.407317865033431,-0.275210529881621,-0.419215698725725,0.768525104599041
"Kurtosis",-0.553046623230907,-0.821384412277308,-0.947989400058685,-1.2062031825396,-1.1080762849292,1.22002658355227
"Standard Deviation",277.67819171287,300.60326202114,192.792065542766,133.493474437542,119.694303072919,223.09742236666
"JB Test",3.20829936997875,19.9814637571792,17.0758593047323,19.1608131481673,21.1391273351091,43.8535749419969
"JB P Value",0.201060446959991,4.58226577447762e-05,0.000195895412202551,6.90688604082501e-05,2.56860203952103e-05,3.00135361008813e-10
"ADF Test",-1.49864192734922,-1.47201894151893,-0.667807692209173,-1.56756199123549,-1.57527311802902,-2.40939578048565
"ADF P Value",0.78710458993399,0.798317809194934,0.972570741767038,0.758076448884703,0.754828633029792,0.40350814763161
"LM(10) Test",180.607129617815,242.838737189184,242.770260590951,232.110641899557,245.943464602517,115.429533463572
"LM P Value",1.75273753368495e-33,1.73621407307648e-46,1.79467970964495e-46,3.09998957947721e-44,3.86639323497813e-47,4.26919573046566e-20
