OBJECTID,Dataset,Dataset_TC,District,District_T,Not_Exceed,Not_Exce_1,Above_Min_,Above_Mi_1,Above_Mi_2,Above_Mi_3,LastUpdate,SHAPE__Are,SHAPE__Len
1,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,NEW TERRITORIES,新界,149858,149858,1307771,1307771,253585538,253585538,2023-04,2985790127.07422,326936.60970898
2,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,KOWLOON,九龍,778,778,506535,506535,132323435,132323435,2023-04,70408604.1992188,49005.1664265968
3,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,HONG KONG,港島,252,252,127266,127266,53031154,53031154,2023-04,178513463.867188,59386.9702180452
4,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,OVERALL,總數,150888,150888,1941572,1941572,438940127,438940127,2023-04,3234712195.14063,241972.433655879
5,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,SOUTHERN,南區,12,12,48652,48652,12084606,12084606,2023-04,110231655.925781,59657.5554111547
6,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,WAN CHAI,灣仔,4,4,12681,12681,6940956,6940956,2023-04,14482235.9121094,21374.6472838363
7,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,CENTRAL AND WESTERN,中西區,123,123,16103,16103,20254255,20254255,2023-04,23181767.9863281,23542.9651797863
8,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,EASTERN,東區,113,113,49830,49830,13751337,13751337,2023-04,30617804.0429688,31917.4180409951
9,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,ISLANDS,離島,20645,20645,58173,58173,21272014,21272014,2023-04,779526274.707031,139341.067752671
10,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,YAU TSIM MONG,油尖旺,47,47,58606,58606,22622404,22622404,2023-04,13450000.8085938,16137.7824838555
11,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,KWUN TONG,觀塘,308,308,153583,153583,40811024,40811024,2023-04,16392683.8886719,22745.9841159592
12,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,SHAM SHUI PO,深水埗,342,342,136294,136294,29956654,29956654,2023-04,12681642.2890625,21224.4492817607
13,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,KOWLOON CITY,九龍城,11,11,62577,62577,20057088,20057088,2023-04,16957963.2089844,23959.2220729107
14,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,WONG TAI SIN,黃大仙,70,70,95475,95475,18876264,18876264,2023-04,10926314.0039063,17776.8684768103
15,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,KWAI TSING,葵青,365,365,113809,113809,36900275,36900275,2023-04,57919490.8847656,46797.1469098509
16,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,TSUEN WAN,荃灣,2644,2644,135975,135975,27313207,27313207,2023-04,99010247.6953125,68195.9657560677
17,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,TUEN MUN,屯門,5261,5261,179404,179404,24534395,24534395,2023-04,221552869.453125,75057.0466347815
18,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,SHA TIN,沙田,5031,5031,235015,235015,47391600,47391600,2023-04,87289615.2304688,49804.8171911277
19,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,SAI KUNG,西貢,15808,15808,171658,171658,34472833,34472833,2023-04,899673032.015625,133904.928354519
20,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,YUEN LONG,元朗,31115,31115,196773,196773,29263311,29263311,2023-04,220459612.980469,92150.3745492249
21,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,TAI PO,大埔,31174,31174,118156,118156,18833925,18833925,2023-04,401857481.03125,127936.203603615
22,Government Rent Roll - Assessments by District,地租登記冊－各地區的已估價物業,NORTH,北區,37815,37815,98808,98808,13603978,13603978,2023-04,218501503.076172,95382.9936181069
